trial_nr	onset	event_type	phase	response	nr_frames	prob1	prob2	n1	n2	choice	certainty	onset_abs	duration
1.0	0.08105831779539585	stim	0		34							4.005576312774792	1.1493936472106725
1.0	1.2093354519456625	response	0	space								5.133853446925059	
1.0	1.2304519650060683	stim	0		151							5.154969959985465	5.016669521806762
1.0	3.5164894508197904	response	0	j								7.441007445799187	
1.0	6.24712148681283	stim	0		9	0.55	1.0	9.0	7.0			10.171639481792226	0.29981969599612057
1.0	6.5469411828089505	stim	1		15	0.55	1.0	9.0	7.0			10.471459177788347	0.4996615070849657
1.0	7.046602689893916	stim	2		18	0.55	1.0	9.0	7.0			10.971120684873313	0.5999432990793139
1.0	7.64654598897323	stim	3		45	0.55	1.0	9.0	7.0			11.571063983952627	1.4993044449947774
1.0	9.145850433968008	stim	4		9	0.55	1.0	9.0	7.0			13.070368428947404	0.3006276679225266
1.0	9.446478101890534	stim	5		15	0.55	1.0	9.0	7.0			13.37099609686993	0.4998552240431309
1.0	9.946333325933665	stim	6		18	0.55	1.0	9.0	7.0			13.870851320913061	0.6006412259303033
1.0	10.546974551863968	stim	7		33	0.55	1.0	9.0	7.0			14.471492546843365	1.1097661929670721
1.0	11.648799111833796	response	7	j		0.55	1.0	9.0	7.0			15.573317106813192	
1.0	11.65674074483104	choice	7		73					1.0		15.581258739810437	1.3278522950131446
1.0	12.950963927898556	response	7	k		0.55	1.0	9.0	7.0			16.875481922877952	
1.0	12.984593039844185	certainty	7		105						2.0	16.90911103482358	1.0618505841121078
2.0	14.046443623956293	stim	0		9	0.55	1.0	16.0	5.0			17.97096161893569	0.3004379919730127
2.0	14.346881615929306	stim	1		15	0.55	1.0	16.0	5.0			18.271399610908702	0.49998404597863555
2.0	14.846865661907941	stim	2		18	0.55	1.0	16.0	5.0			18.771383656887338	0.5995541398879141
2.0	15.446419801795855	stim	3		45	0.55	1.0	16.0	5.0			19.37093779677525	1.4999334160238504
2.0	16.946353217819706	stim	4		9	0.55	1.0	16.0	5.0			20.870871212799102	0.29912799317389727
2.0	17.245481210993603	stim	5		15	0.55	1.0	16.0	5.0			21.169999205973	0.5009647358674556
2.0	17.74644594686106	stim	6		18	0.55	1.0	16.0	5.0			21.670963941840455	0.6001004721038043
2.0	18.346546418964863	stim	7		61	0.55	1.0	16.0	5.0			22.27106441394426	2.040479689836502
2.0	20.349369267001748	response	7	j		0.55	1.0	16.0	5.0			24.273887261981145	
2.0	20.387026108801365	choice	7		88					1.0		24.31154410378076	0.9007683091331273
2.0	21.283125129994005	response	7	k		0.55	1.0	16.0	5.0			25.2076431249734	
2.0	21.287794417934492	certainty	7		105						2.0	25.21231241291389	0.5580131460446864
