trial_nr	array_nr	stim_nr	x	y
1.0	1	1	0.9108798005471239	-0.03085728624915489
1.0	1	2	0.1599973399125499	-0.13476041652367682
1.0	1	3	-0.8941153436670114	-1.079458920312945
1.0	1	4	-2.3287101327198245	-1.0784565257979053
1.0	1	5	-3.3705379649516347	2.7810274765112193
1.0	1	6	-0.9048031415470684	0.7063214081330376
1.0	1	7	-0.6853640953479124	-2.450465207505348
1.0	1	8	-1.5842496306070872	-1.3986169151673051
1.0	1	9	-2.8116108432458793	0.7756453480887093
1.0	2	1	1.1582503911148785	-2.3467789954773792
1.0	2	2	2.306459170046465	-0.15340995681639757
1.0	2	3	-1.3828649965552555	-0.4351165944486645
1.0	2	4	0.8417682705290703	2.064726606677927
1.0	2	5	-2.654251050630155	3.3176366866343265
1.0	2	6	0.20557548471646597	1.9961029213059216
1.0	2	7	-0.8649843241988914	-1.2562891711325226
2.0	1	1	-1.294459365366654	2.2112914826131815
2.0	1	2	0.17161416475444816	0.29496026442220596
2.0	1	3	1.4222128559764367	0.6705352177796942
2.0	1	4	-4.148675993986587	-2.347285727484461
2.0	1	5	4.360231055442419	0.47912904674473095
2.0	1	6	-1.6053526883203397	1.5004536565212607
2.0	1	7	0.6308496293828225	-0.14580775464974605
2.0	1	8	1.8957103942562425	3.06164548024897
2.0	1	9	-1.013750706919484	-4.621427842263917
2.0	1	10	-2.2490622574532684	0.6715152147917394
2.0	1	11	2.199945195505715	4.09184009319612
2.0	1	12	-4.825600345668416	-0.9918024287067929
2.0	1	13	-0.7287219683000252	0.319513544616972
2.0	1	14	-0.25574581936674995	0.8611136701951538
2.0	1	15	3.463494653777627	-2.7927291965222323
2.0	1	16	-1.5124258290246748	3.631295458391073
2.0	2	1	0.3426882895029882	-0.4895426119203048
2.0	2	2	2.023627274784751	2.195352811038756
2.0	2	3	1.064224695091866	3.844582160292215
2.0	2	4	-2.2076774702543887	3.3669808777013817
2.0	2	5	0.07671880787602185	2.5454922061662746
