bin(n_safe)	risky_first	bin(risky/safe)	chose_risky	pred_mean	hdi_lower	hdi_upper	model_label
Small	False	0	0.15326633165829145	0.21655778894472363	0.17839195979899497	0.25125628140703515	klw
Small	False	1	0.3609022556390977	0.31472431077694235	0.2631578947368421	0.3684210526315789	klw
Small	False	2	0.4166666666666667	0.38019444444444445	0.32916666666666666	0.43333333333333335	klw
Small	False	3	0.5874125874125874	0.46878787878787875	0.4195804195804196	0.5244755244755245	klw
Small	False	4	0.7205882352941176	0.548235294117647	0.4963235294117647	0.6066176470588235	klw
Small	False	5	0.7478991596638656	0.6236694677871149	0.5588235294117647	0.6722689075630253	klw
Small	False	6	0.8454545454545455	0.693409090909091	0.6181818181818182	0.7363636363636363	klw
Small	True	0	0.3065326633165829	0.21477386934673368	0.17587939698492464	0.2537688442211055	klw
Small	True	1	0.46616541353383456	0.31723057644110275	0.2706766917293233	0.3684210526315789	klw
Small	True	2	0.5333333333333333	0.3780833333333333	0.32083333333333336	0.4375	klw
Small	True	3	0.6643356643356644	0.4654428904428905	0.4125874125874126	0.5209790209790209	klw
Small	True	4	0.7463235294117647	0.5460661764705882	0.4963235294117647	0.6102941176470589	klw
Small	True	5	0.8109243697478992	0.6229131652661064	0.5672268907563025	0.6722689075630253	klw
Small	True	6	0.8090909090909091	0.6978333333333333	0.6454545454545455	0.7545454545454545	klw
Medium	False	0	0.2652439024390244	0.2171138211382114	0.17682926829268292	0.25914634146341464	klw
Medium	False	1	0.44776119402985076	0.30339552238805967	0.2537313432835821	0.35447761194029853	klw
Medium	False	2	0.51953125	0.384453125	0.31640625	0.44140625	klw
Medium	False	3	0.5652173913043478	0.46397342995169083	0.41304347826086957	0.5144927536231884	klw
Medium	False	4	0.6778523489932886	0.5488255033557047	0.5033557046979866	0.6073825503355704	klw
Medium	False	5	0.7611940298507462	0.6268532338308458	0.5708955223880597	0.6791044776119403	klw
Medium	False	6	0.7787610619469026	0.7016519174041298	0.6460176991150443	0.7522123893805309	klw
Medium	True	0	0.1798780487804878	0.21954268292682927	0.17682926829268292	0.2652439024390244	klw
Medium	True	1	0.25	0.30597014925373134	0.25	0.35447761194029853	klw
Medium	True	2	0.359375	0.3871354166666667	0.328125	0.4375	klw
Medium	True	3	0.4384057971014493	0.45950483091787436	0.40217391304347827	0.5181159420289855	klw
Medium	True	4	0.5268456375838926	0.5480425055928412	0.4865771812080537	0.587248322147651	klw
Medium	True	5	0.5895522388059702	0.6258582089552238	0.5746268656716418	0.6753731343283582	klw
Medium	True	6	0.6769911504424779	0.7011651917404129	0.6548672566371682	0.7477876106194691	klw
Large	False	0	0.29044117647058826	0.21376225490196077	0.17279411764705882	0.26838235294117646	klw
Large	False	1	0.34615384615384615	0.3004195804195804	0.23776223776223776	0.34965034965034963	klw
Large	False	2	0.42028985507246375	0.38530193236714977	0.32971014492753625	0.43478260869565216	klw
Large	False	3	0.5551470588235294	0.462328431372549	0.40808823529411764	0.5183823529411765	klw
Large	False	4	0.5962962962962963	0.558716049382716	0.4962962962962963	0.6148148148148148	klw
Large	False	5	0.6267123287671232	0.6140867579908676	0.5582191780821918	0.6678082191780822	klw
Large	False	6	0.6666666666666666	0.6867460317460318	0.6349206349206349	0.7380952380952381	klw
Large	True	0	0.12867647058823528	0.21495098039215685	0.17279411764705882	0.27205882352941174	klw
Large	True	1	0.20279720279720279	0.3023659673659674	0.25874125874125875	0.36013986013986016	klw
Large	True	2	0.25	0.384975845410628	0.32608695652173914	0.4420289855072464	klw
Large	True	3	0.29411764705882354	0.4635416666666667	0.40808823529411764	0.5183823529411765	klw
Large	True	4	0.43703703703703706	0.5542592592592592	0.4925925925925926	0.6074074074074074	klw
Large	True	5	0.5	0.6183561643835616	0.565068493150685	0.6712328767123288	klw
Large	True	6	0.5436507936507936	0.6856746031746032	0.6349206349206349	0.7380952380952381	klw
