# Mean generating(rows) x estimated(cols) Pearson r over 10 simulations; source=prior, calibrated_design=False
generating	n1_evidence_sd	n2_evidence_sd	risky_prior_mu	safe_prior_mu	risky_prior_std	safe_prior_std
n1_evidence_sd	0.881529497619318	0.18712061877608493	0.04079263160261603	-0.02447579928400876	-0.02415400031702799	0.08024915702412665
n2_evidence_sd	0.215069117778729	0.8864026235664625	-0.13403945593817546	0.007432758732682619	-0.04064739458067616	-0.03624596750972791
risky_prior_mu	0.01725685072458083	-0.008278327872392154	0.46462412429675215	-0.2625659416673748	-0.05477664223631691	0.060630866031768774
safe_prior_mu	0.026613345734562543	0.048258447101602445	-0.25972447392358133	0.4729500085776336	-0.08020717519550546	-0.13123985859755663
risky_prior_std	0.008794462343675036	-0.018602785972431694	-0.05685837307544282	0.042688833008681815	0.4974616699225143	-0.06891187423352822
safe_prior_std	0.0705933353556814	0.004931913731062253	0.1263425613743466	-0.15295563389679967	-0.053653524670940186	0.5094928336554826
