subject	Order	bin(stake size)	bin(risky/safe)	chose_risky	logrs
04	Risky first	Large	0	0.0	0.07052152173691495
04	Risky first	Large	1	0.0	0.23722898979755797
04	Risky first	Large	2	0.0	0.45684866805058383
04	Risky first	Large	3	0.0	0.6261506392714691
04	Risky first	Large	4	0.14285714285714285	0.8265211974183116
04	Risky first	Large	5	0.16666666666666666	1.0453096346824247
04	Risky first	Large	6	0.2	1.1898944054590845
04	Safe first	Small	0	0.0	0.06077385226465153
04	Safe first	Small	1	0.16666666666666666	0.31482053628028384
04	Safe first	Small	2	0.8333333333333334	0.5159988769037032
04	Safe first	Small	3	1.0	0.67207507742838
04	Safe first	Small	4	1.0	0.8662298107232926
04	Safe first	Small	5	1.0	1.0268974472430303
04	Safe first	Small	6	1.0	1.1910505567558578
04	Safe first	Medium	0	0.16666666666666666	0.09965650606102283
04	Safe first	Medium	1	0.75	0.25131442828090617
04	Safe first	Medium	2	0.75	0.44858086403791914
04	Safe first	Medium	3	0.875	0.6384748803187379
04	Safe first	Medium	4	1.0	0.8392793796756708
04	Safe first	Medium	5	1.0	1.048337301944256
04	Safe first	Medium	6	1.0	1.2090704767378695
04	Safe first	Large	0	0.0	0.07052152173691495
04	Safe first	Large	1	0.125	0.23722898979755797
04	Safe first	Large	2	0.08333333333333333	0.45684866805058383
04	Safe first	Large	3	0.16666666666666666	0.6261506392714691
04	Safe first	Large	4	0.2857142857142857	0.8265211974183116
04	Safe first	Large	5	0.5	1.0453096346824247
04	Safe first	Large	6	0.3	1.1898944054590845
05	Risky first	Small	0	0.3333333333333333	0.4518579067527984
05	Risky first	Small	1	0.5	0.6482800586070583
05	Risky first	Small	2	0.125	0.7914333364899763
05	Risky first	Small	3	0.9	0.9236512862501053
05	Risky first	Small	4	0.3	1.064342992952415
05	Risky first	Small	5	0.625	1.2021634973985664
05	Risky first	Small	6	0.625	1.3549440444845724
05	Risky first	Medium	0	0.08333333333333333	0.49169661996767394
05	Risky first	Medium	1	0.125	0.671231945920339
05	Risky first	Medium	2	0.125	0.7914333364899763
05	Risky first	Medium	3	0.375	0.9156862465557726
05	Risky first	Medium	4	0.25	1.0722526632333753
05	Risky first	Medium	5	0.375	1.2276346693894926
05	Risky first	Medium	6	0.625	1.359706093227246
05	Risky first	Large	0	0.25	0.4842188220610928
05	Risky first	Large	1	0.25	0.6383558076592436
05	Risky first	Large	2	0.0	0.8011838759407935
05	Risky first	Large	3	0.0	0.9279390987448287
05	Risky first	Large	4	0.3	1.0699357600937984
05	Risky first	Large	5	0.125	1.2075921026821756
05	Risky first	Large	6	0.2	1.3430323433492295
05	Safe first	Small	0	0.08333333333333333	0.4518579067527984
05	Safe first	Small	1	0.375	0.6482800586070583
05	Safe first	Small	2	0.125	0.7914333364899763
05	Safe first	Small	3	0.5	0.9236512862501053
05	Safe first	Small	4	0.5	1.064342992952415
05	Safe first	Small	5	0.5	1.2021634973985664
05	Safe first	Small	6	0.75	1.3549440444845724
05	Safe first	Medium	0	0.08333333333333333	0.49169661996767394
05	Safe first	Medium	1	0.125	0.671231945920339
05	Safe first	Medium	2	0.25	0.7914333364899763
05	Safe first	Medium	3	0.25	0.9156862465557726
05	Safe first	Medium	4	0.5	1.0722526632333753
05	Safe first	Medium	5	0.625	1.2276346693894926
05	Safe first	Medium	6	0.375	1.359706093227246
05	Safe first	Large	0	0.25	0.4842188220610928
05	Safe first	Large	1	0.3333333333333333	0.6383558076592436
05	Safe first	Large	2	0.25	0.8011838759407935
05	Safe first	Large	3	0.25	0.9279390987448287
05	Safe first	Large	4	0.7	1.0699357600937984
05	Safe first	Large	5	0.375	1.2075921026821756
05	Safe first	Large	6	0.6	1.3430323433492295
06	Risky first	Small	0	0.5	0.600353394067776
06	Risky first	Small	1	0.5	0.8377676164239739
06	Risky first	Small	2	0.5	0.9518281662985748
06	Risky first	Small	3	0.6666666666666666	1.025990123930321
06	Risky first	Small	4	0.625	1.1218722964855563
06	Risky first	Small	5	0.75	1.1697591240727196
06	Risky first	Small	6	0.5	1.272465335465809
06	Risky first	Medium	0	0.1	0.6047330053866842
06	Risky first	Medium	1	0.5	0.8148795335920352
06	Risky first	Medium	2	0.125	0.9618139716838934
06	Risky first	Medium	3	0.25	1.0191248004755225
06	Risky first	Medium	4	0.2	1.09631647114414
06	Risky first	Medium	5	0.5	1.1797839040667315
06	Risky first	Medium	6	0.5	1.2865619632311507
06	Risky first	Large	0	0.125	0.5873915103360424
06	Risky first	Large	1	0.125	0.7669846814885475
06	Risky first	Large	2	0.4166666666666667	0.9441747555017407
06	Risky first	Large	3	0.0	1.0235496947503728
06	Risky first	Large	4	0.125	1.0943750757390862
06	Risky first	Large	5	0.5	1.1783982095425223
06	Risky first	Large	6	0.375	1.2958562398162128
06	Safe first	Small	0	0.4166666666666667	0.600353394067776
06	Safe first	Small	1	0.8	0.8377676164239739
06	Safe first	Small	2	0.3333333333333333	0.9518281662985748
06	Safe first	Small	3	0.5833333333333334	1.025990123930321
06	Safe first	Small	4	0.5	1.1218722964855563
06	Safe first	Small	5	0.25	1.1697591240727196
06	Safe first	Small	6	0.5	1.272465335465809
06	Safe first	Medium	0	0.4	0.6047330053866842
06	Safe first	Medium	1	0.7	0.8148795335920352
06	Safe first	Medium	2	0.75	0.9618139716838934
06	Safe first	Medium	3	0.375	1.0191248004755225
06	Safe first	Medium	4	0.8	1.09631647114414
06	Safe first	Medium	5	0.8	1.1797839040667315
06	Safe first	Medium	6	0.875	1.2865619632311507
06	Safe first	Large	0	0.375	0.5873915103360424
06	Safe first	Large	1	0.625	0.7669846814885475
06	Safe first	Large	2	0.3333333333333333	0.9441747555017407
06	Safe first	Large	3	0.625	1.0235496947503728
06	Safe first	Large	4	0.5	1.0943750757390862
06	Safe first	Large	5	0.5833333333333334	1.1783982095425223
06	Safe first	Large	6	0.625	1.2958562398162128
07	Risky first	Small	0	0.25	0.6026700801079224
07	Risky first	Small	1	0.8333333333333334	0.7796849242584791
07	Risky first	Small	2	0.8333333333333334	0.8631501685130901
07	Risky first	Small	3	0.6	0.9767265492376019
07	Risky first	Small	4	0.875	1.1025493779101445
07	Risky first	Small	5	0.8	1.2398805402127073
07	Risky first	Small	6	1.0	1.3862943611198906
07	Risky first	Medium	0	0.3333333333333333	0.5793147123772907
07	Risky first	Medium	1	0.0	0.7528777351549544
07	Risky first	Medium	2	0.1	0.8496122324022032
07	Risky first	Medium	3	0.5	0.989223239790165
07	Risky first	Medium	4	0.3	1.1046262717267143
07	Risky first	Medium	5	0.2	1.2498019050279048
07	Risky first	Medium	6	0.625	1.3862943611198906
07	Risky first	Large	0	0.0	0.5909271219333495
07	Risky first	Large	1	0.0	0.7585758796080544
07	Risky first	Large	2	0.0	0.856921048919304
07	Risky first	Large	3	0.0	0.9925789948732001
07	Risky first	Large	4	0.1	1.1168761282024786
07	Risky first	Large	5	0.125	1.244010962331659
07	Risky first	Large	6	0.2	1.3656186902291236
07	Safe first	Small	0	0.0625	0.6026700801079224
07	Safe first	Small	1	0.3333333333333333	0.7796849242584791
07	Safe first	Small	2	0.3333333333333333	0.8631501685130901
07	Safe first	Small	3	0.7	0.9767265492376019
07	Safe first	Small	4	0.5	1.1025493779101445
07	Safe first	Small	5	0.4	1.2398805402127073
07	Safe first	Small	6	0.875	1.3862943611198906
07	Safe first	Medium	0	0.0	0.5793147123772907
07	Safe first	Medium	1	0.0	0.7528777351549544
07	Safe first	Medium	2	0.2	0.8496122324022032
07	Safe first	Medium	3	0.25	0.989223239790165
07	Safe first	Medium	4	0.1	1.1046262717267143
07	Safe first	Medium	5	0.3	1.2498019050279048
07	Safe first	Medium	6	0.375	1.3862943611198906
07	Safe first	Large	0	0.0	0.5909271219333495
07	Safe first	Large	1	0.0	0.7585758796080544
07	Safe first	Large	2	0.1	0.856921048919304
07	Safe first	Large	3	0.125	0.9925789948732001
07	Safe first	Large	4	0.1	1.1168761282024786
07	Safe first	Large	5	0.125	1.244010962331659
07	Safe first	Large	6	0.4	1.3656186902291236
08	Risky first	Small	0	0.3333333333333333	0.20668530849030153
08	Risky first	Small	1	0.4	0.4210684540223987
08	Risky first	Small	2	0.4	0.5905296494698744
08	Risky first	Small	3	0.3333333333333333	0.7391424282179129
08	Risky first	Small	4	0.5	0.8566745075182431
08	Risky first	Small	5	0.7	1.0206689384401044
08	Risky first	Small	6	0.75	1.2253508371342292
08	Risky first	Medium	0	0.2	0.22661194461374667
08	Risky first	Medium	1	0.25	0.4094021973501992
08	Risky first	Medium	2	0.25	0.5462752116287429
08	Risky first	Medium	3	0.2	0.6889129411020268
08	Risky first	Medium	4	0.4	0.8664518861713246
08	Risky first	Medium	5	0.5	1.032625724920433
08	Risky first	Medium	6	0.75	1.2378187946442725
08	Risky first	Large	0	0.0	0.22738780891698876
08	Risky first	Large	1	0.25	0.39684795664702743
08	Risky first	Large	2	0.2	0.5509062306948287
08	Risky first	Large	3	0.3	0.7057898259885992
08	Risky first	Large	4	0.4	0.8781070510702605
08	Risky first	Large	5	0.5	1.0361656403403132
08	Risky first	Large	6	0.5	1.24445730032491
08	Safe first	Small	0	0.08333333333333333	0.20668530849030153
08	Safe first	Small	1	0.3	0.4210684540223987
08	Safe first	Small	2	0.2	0.5905296494698744
08	Safe first	Small	3	0.16666666666666666	0.7391424282179129
08	Safe first	Small	4	0.625	0.8566745075182431
08	Safe first	Small	5	0.8	1.0206689384401044
08	Safe first	Small	6	0.875	1.2253508371342292
08	Safe first	Medium	0	0.2	0.22661194461374667
08	Safe first	Medium	1	0.125	0.4094021973501992
08	Safe first	Medium	2	0.5	0.5462752116287429
08	Safe first	Medium	3	0.7	0.6889129411020268
08	Safe first	Medium	4	0.6	0.8664518861713246
08	Safe first	Medium	5	0.7	1.032625724920433
08	Safe first	Medium	6	0.875	1.2378187946442725
08	Safe first	Large	0	0.125	0.22738780891698876
08	Safe first	Large	1	0.0	0.39684795664702743
08	Safe first	Large	2	0.2	0.5509062306948287
08	Safe first	Large	3	0.5	0.7057898259885992
08	Safe first	Large	4	0.4	0.8781070510702605
08	Safe first	Large	5	0.4	1.0361656403403132
08	Safe first	Large	6	0.625	1.24445730032491
09	Risky first	Small	0	0.3333333333333333	0.42285411442292187
09	Risky first	Small	1	0.5	0.563391582817403
09	Risky first	Small	2	0.5	0.6931471805599453
09	Risky first	Small	3	0.75	0.8086887165883555
09	Risky first	Small	4	0.9	0.926018177779506
09	Risky first	Small	5	1.0	1.025990123930321
09	Risky first	Small	6	0.875	1.110242292576833
09	Risky first	Medium	0	0.3333333333333333	0.45730187455593035
09	Risky first	Medium	1	0.5	0.5838025800775306
09	Risky first	Medium	2	0.625	0.6931471805599453
09	Risky first	Medium	3	0.4	0.8084486415644431
09	Risky first	Medium	4	0.75	0.9188490259441623
09	Risky first	Medium	5	0.7	1.0156348095282965
09	Risky first	Medium	6	1.0	1.1184397482825807
09	Risky first	Large	0	0.3333333333333333	0.4357890341767399
09	Risky first	Large	1	0.3333333333333333	0.5510870962266993
09	Risky first	Large	2	0.6	0.6810947876858832
09	Risky first	Large	3	0.5	0.8161432810041431
09	Risky first	Large	4	0.8333333333333334	0.9066282195830709
09	Risky first	Large	5	0.75	1.0160962379789533
09	Risky first	Large	6	1.0	1.1323556623322275
09	Safe first	Small	0	0.25	0.42285411442292187
09	Safe first	Small	1	0.5	0.563391582817403
09	Safe first	Small	2	0.75	0.6931471805599453
09	Safe first	Small	3	0.5833333333333334	0.8086887165883555
09	Safe first	Small	4	0.9	0.926018177779506
09	Safe first	Small	5	1.0	1.025990123930321
09	Safe first	Small	6	1.0	1.110242292576833
09	Safe first	Medium	0	0.4166666666666667	0.45730187455593035
09	Safe first	Medium	1	0.625	0.5838025800775306
09	Safe first	Medium	2	0.875	0.6931471805599453
09	Safe first	Medium	3	1.0	0.8084486415644431
09	Safe first	Medium	4	0.75	0.9188490259441623
09	Safe first	Medium	5	0.8	1.0156348095282965
09	Safe first	Medium	6	1.0	1.1184397482825807
09	Safe first	Large	0	0.8333333333333334	0.4357890341767399
09	Safe first	Large	1	0.4166666666666667	0.5510870962266993
09	Safe first	Large	2	0.8	0.6810947876858832
09	Safe first	Large	3	0.7	0.8161432810041431
09	Safe first	Large	4	0.8333333333333334	0.9066282195830709
09	Safe first	Large	5	0.9166666666666666	1.0160962379789533
09	Safe first	Large	6	1.0	1.1323556623322275
10	Risky first	Small	0	0.1	0.11343347553987666
10	Risky first	Small	1	0.35714285714285715	0.4105138461655348
10	Risky first	Small	2	0.8333333333333334	0.5715232768456416
10	Risky first	Small	3	0.625	0.6918684053932527
10	Risky first	Small	4	0.9	0.8332730452535622
10	Risky first	Small	5	0.875	0.9948536488870309
10	Risky first	Small	6	1.0	1.3071269587886323
10	Risky first	Medium	0	0.1	0.16923245441547405
10	Risky first	Medium	1	0.08333333333333333	0.4036019665692811
10	Risky first	Medium	2	0.0	0.5546806821563174
10	Risky first	Medium	3	0.125	0.6827672349198027
10	Risky first	Medium	4	0.5	0.8510546756281322
10	Risky first	Medium	5	0.75	1.0166493755344699
10	Risky first	Medium	6	0.75	1.3071269587886323
10	Risky first	Large	0	0.125	0.16084499418567172
10	Risky first	Large	1	0.08333333333333333	0.3834973019378453
10	Risky first	Large	2	0.0	0.5235053294860429
10	Risky first	Large	3	0.1	0.6730605547480277
10	Risky first	Large	4	0.25	0.8238131988103617
10	Risky first	Large	5	0.4	0.9816434279494823
10	Risky first	Large	6	0.8	1.2659485464394151
10	Safe first	Small	0	0.1	0.11343347553987666
10	Safe first	Small	1	0.14285714285714285	0.4105138461655348
10	Safe first	Small	2	0.8333333333333334	0.5715232768456416
10	Safe first	Small	3	0.875	0.6918684053932527
10	Safe first	Small	4	0.7	0.8332730452535622
10	Safe first	Small	5	0.875	0.9948536488870309
10	Safe first	Small	6	1.0	1.3071269587886323
10	Safe first	Medium	0	0.3	0.16923245441547405
10	Safe first	Medium	1	0.5	0.4036019665692811
10	Safe first	Medium	2	0.6666666666666666	0.5546806821563174
10	Safe first	Medium	3	0.5	0.6827672349198027
10	Safe first	Medium	4	0.8333333333333334	0.8510546756281322
10	Safe first	Medium	5	1.0	1.0166493755344699
10	Safe first	Medium	6	0.625	1.3071269587886323
10	Safe first	Large	0	0.0	0.16084499418567172
10	Safe first	Large	1	0.16666666666666666	0.3834973019378453
10	Safe first	Large	2	0.6666666666666666	0.5235053294860429
10	Safe first	Large	3	0.5	0.6730605547480277
10	Safe first	Large	4	0.875	0.8238131988103617
10	Safe first	Large	5	0.8	0.9816434279494823
10	Safe first	Large	6	0.9	1.2659485464394151
11	Risky first	Small	0	0.6428571428571429	0.6304357972318549
11	Risky first	Small	1	0.5	0.770912488152688
11	Risky first	Small	2	0.875	0.8662298107232926
11	Risky first	Small	3	0.8333333333333334	0.9765308236831487
11	Risky first	Small	4	0.9166666666666666	1.1193684128691204
11	Risky first	Small	5	1.0	1.2729656758128876
11	Risky first	Small	6	0.875	1.3336141032909774
11	Risky first	Medium	0	0.16666666666666666	0.6420888239727361
11	Risky first	Medium	1	0.25	0.7636687022968602
11	Risky first	Medium	2	0.375	0.8739227253899811
11	Risky first	Medium	3	0.25	0.9636860140282011
11	Risky first	Medium	4	0.6666666666666666	1.1007920946290526
11	Risky first	Medium	5	0.25	1.2202854179839744
11	Risky first	Medium	6	0.25	1.3336141032909774
11	Risky first	Large	0	0.08333333333333333	0.6527766993673423
11	Risky first	Large	1	0.0	0.777815977625014
11	Risky first	Large	2	0.0	0.8776821947311162
11	Risky first	Large	3	0.0	0.9765658665965835
11	Risky first	Large	4	0.375	1.081190293853475
11	Risky first	Large	5	0.1	1.1975171322358944
11	Risky first	Large	6	0.2	1.323474483965993
11	Safe first	Small	0	0.5	0.6304357972318549
11	Safe first	Small	1	0.3333333333333333	0.770912488152688
11	Safe first	Small	2	0.375	0.8662298107232926
11	Safe first	Small	3	0.6666666666666666	0.9765308236831487
11	Safe first	Small	4	0.8333333333333334	1.1193684128691204
11	Safe first	Small	5	0.75	1.2729656758128876
11	Safe first	Small	6	1.0	1.3336141032909774
11	Safe first	Medium	0	0.08333333333333333	0.6420888239727361
11	Safe first	Medium	1	0.375	0.7636687022968602
11	Safe first	Medium	2	0.125	0.8739227253899811
11	Safe first	Medium	3	0.0	0.9636860140282011
11	Safe first	Medium	4	0.5	1.1007920946290526
11	Safe first	Medium	5	0.75	1.2202854179839744
11	Safe first	Medium	6	0.875	1.3336141032909774
11	Safe first	Large	0	0.25	0.6527766993673423
11	Safe first	Large	1	0.125	0.777815977625014
11	Safe first	Large	2	0.25	0.8776821947311162
11	Safe first	Large	3	0.25	0.9765658665965835
11	Safe first	Large	4	0.5	1.081190293853475
11	Safe first	Large	5	0.3	1.1975171322358944
11	Safe first	Large	6	0.6	1.323474483965993
12	Risky first	Small	0	0.0	0.08506200787579829
12	Risky first	Small	1	0.0	0.25131442828090617
12	Risky first	Small	2	0.0	0.34657359027997264
12	Risky first	Small	3	0.5	0.4939970767399805
12	Risky first	Small	4	0.6	0.6361813798660705
12	Risky first	Small	5	0.75	0.8560632894905204
12	Risky first	Small	6	0.875	1.187781024652793
12	Risky first	Medium	0	0.3	0.08312349591443648
12	Risky first	Medium	1	0.2	0.24430267998755037
12	Risky first	Medium	2	0.125	0.37601934919406854
12	Risky first	Medium	3	0.5	0.5224507989113695
12	Risky first	Medium	4	0.5	0.6740589553844678
12	Risky first	Medium	5	0.875	0.8560632894905204
12	Risky first	Medium	6	1.0	1.1986143058293863
12	Risky first	Large	0	0.1	0.09943949331292108
12	Risky first	Large	1	0.16666666666666666	0.23594490239645152
12	Risky first	Large	2	0.16666666666666666	0.36103497025124476
12	Risky first	Large	3	0.375	0.5209739730073041
12	Risky first	Large	4	0.25	0.6325914587710408
12	Risky first	Large	5	0.75	0.8286196906987392
12	Risky first	Large	6	0.625	1.208634005586614
12	Safe first	Small	0	0.0	0.08506200787579829
12	Safe first	Small	1	0.25	0.25131442828090617
12	Safe first	Small	2	0.125	0.34657359027997264
12	Safe first	Small	3	0.5	0.4939970767399805
12	Safe first	Small	4	0.9	0.6361813798660705
12	Safe first	Small	5	1.0	0.8560632894905204
12	Safe first	Small	6	0.875	1.187781024652793
12	Safe first	Medium	0	0.1	0.08312349591443648
12	Safe first	Medium	1	0.3	0.24430267998755037
12	Safe first	Medium	2	0.5	0.37601934919406854
12	Safe first	Medium	3	0.8	0.5224507989113695
12	Safe first	Medium	4	0.7	0.6740589553844678
12	Safe first	Medium	5	0.875	0.8560632894905204
12	Safe first	Medium	6	1.0	1.1986143058293863
12	Safe first	Large	0	0.5	0.09943949331292108
12	Safe first	Large	1	0.8333333333333334	0.23594490239645152
12	Safe first	Large	2	0.5833333333333334	0.36103497025124476
12	Safe first	Large	3	1.0	0.5209739730073041
12	Safe first	Large	4	0.625	0.6325914587710408
12	Safe first	Large	5	0.6666666666666666	0.8286196906987392
12	Safe first	Large	6	0.875	1.208634005586614
13	Risky first	Small	0	0.4166666666666667	0.5425996319886569
13	Risky first	Small	1	0.625	0.6931471805599453
13	Risky first	Small	2	0.875	0.7752987062055835
13	Risky first	Small	3	0.7	0.868077596049414
13	Risky first	Small	4	1.0	0.9705084318235958
13	Risky first	Small	5	1.0	1.0691665297540138
13	Risky first	Small	6	0.875	1.1910505567558578
13	Risky first	Medium	0	0.0	0.5223984782859635
13	Risky first	Medium	1	0.5	0.6756149928482602
13	Risky first	Medium	2	0.5	0.7790025941679063
13	Risky first	Medium	3	0.5	0.8739227253899811
13	Risky first	Medium	4	0.5	0.9740522578263047
13	Risky first	Medium	5	0.625	1.0899951372069727
13	Risky first	Medium	6	1.0	1.1910505567558578
13	Risky first	Large	0	0.25	0.5280166922489782
13	Risky first	Large	1	0.1	0.6805535153663345
13	Risky first	Large	2	0.0	0.7790025941679063
13	Risky first	Large	3	0.125	0.8864867163870883
13	Risky first	Large	4	0.25	0.9878264357875176
13	Risky first	Large	5	0.375	1.1014314111676866
13	Risky first	Large	6	0.375	1.1938754455693412
13	Safe first	Small	0	0.4166666666666667	0.5425996319886569
13	Safe first	Small	1	0.875	0.6931471805599453
13	Safe first	Small	2	0.75	0.7752987062055835
13	Safe first	Small	3	1.0	0.868077596049414
13	Safe first	Small	4	0.9	0.9705084318235958
13	Safe first	Small	5	0.875	1.0691665297540138
13	Safe first	Small	6	1.0	1.1910505567558578
13	Safe first	Medium	0	0.25	0.5223984782859635
13	Safe first	Medium	1	0.8	0.6756149928482602
13	Safe first	Medium	2	0.6	0.7790025941679063
13	Safe first	Medium	3	0.75	0.8739227253899811
13	Safe first	Medium	4	0.9166666666666666	0.9740522578263047
13	Safe first	Medium	5	1.0	1.0899951372069727
13	Safe first	Medium	6	1.0	1.1910505567558578
13	Safe first	Large	0	0.25	0.5280166922489782
13	Safe first	Large	1	0.3	0.6805535153663345
13	Safe first	Large	2	0.2	0.7790025941679063
13	Safe first	Large	3	0.125	0.8864867163870883
13	Safe first	Large	4	0.25	0.9878264357875176
13	Safe first	Large	5	0.375	1.1014314111676866
13	Safe first	Large	6	0.375	1.1938754455693412
14	Risky first	Small	0	0.5	0.1636963611960579
14	Risky first	Small	1	0.7	0.36361535550908564
14	Risky first	Small	2	0.875	0.5045000649892113
14	Risky first	Small	3	1.0	0.6632357659246874
14	Risky first	Small	4	1.0	0.7796849242584791
14	Risky first	Small	5	0.9	0.945210092211811
14	Risky first	Small	6	1.0	1.2266585994886172
14	Risky first	Medium	0	0.4	0.20958038294568535
14	Risky first	Medium	1	0.7	0.40097053693775264
14	Risky first	Medium	2	0.625	0.5450178745274925
14	Risky first	Medium	3	0.6666666666666666	0.6632357659246874
14	Risky first	Medium	4	0.8333333333333334	0.7906148651994761
14	Risky first	Medium	5	0.8	0.9603927550781162
14	Risky first	Medium	6	1.0	1.2384589998596909
14	Risky first	Large	0	0.25	0.20443592160370805
14	Risky first	Large	1	0.4166666666666667	0.40421999394989694
14	Risky first	Large	2	0.5	0.5522647587458055
14	Risky first	Large	3	0.5	0.6551298021540869
14	Risky first	Large	4	0.9	0.7722954398917299
14	Risky first	Large	5	0.5	0.9668377845370635
14	Risky first	Large	6	0.875	1.2447740902300233
14	Safe first	Small	0	0.2	0.1636963611960579
14	Safe first	Small	1	0.6	0.36361535550908564
14	Safe first	Small	2	0.625	0.5045000649892113
14	Safe first	Small	3	1.0	0.6632357659246874
14	Safe first	Small	4	1.0	0.7796849242584791
14	Safe first	Small	5	1.0	0.945210092211811
14	Safe first	Small	6	1.0	1.2266585994886172
14	Safe first	Medium	0	0.8	0.20958038294568535
14	Safe first	Medium	1	0.7	0.40097053693775264
