subject	Order	bin(stake size)	bin(risky/safe)	chose_risky	logrs
02	Risky first	Small	0	0.16666666666666666	0.09452789628323055
02	Risky first	Small	1	0.1	0.4170279125588948
02	Risky first	Small	2	0.7	0.5905296494698744
02	Risky first	Small	3	1.0	0.6931471805599453
02	Risky first	Small	4	0.7	0.7984823838288746
02	Risky first	Small	5	0.875	0.9948536488870309
02	Risky first	Small	6	0.875	1.174915926471465
02	Risky first	Medium	0	0.1	0.09603120014195074
02	Risky first	Medium	1	0.25	0.356378768568293
02	Risky first	Medium	2	0.3	0.5545775022834182
02	Risky first	Medium	3	0.5	0.7021493224782871
02	Risky first	Medium	4	0.6	0.8285717523239094
02	Risky first	Medium	5	1.0	0.9948536488870309
02	Risky first	Medium	6	0.875	1.1955150881962098
02	Risky first	Large	0	0.0	0.07709616370273785
02	Risky first	Large	1	0.25	0.3235021949745246
02	Risky first	Large	2	0.4166666666666667	0.5584447662656138
02	Risky first	Large	3	0.375	0.6956270280050549
02	Risky first	Large	4	0.8333333333333334	0.8218673509653317
02	Risky first	Large	5	0.75	1.002726873694965
02	Risky first	Large	6	1.0	1.2023400623463034
02	Safe first	Small	0	0.08333333333333333	0.09452789628323055
02	Safe first	Small	1	0.5	0.4170279125588948
02	Safe first	Small	2	0.4	0.5905296494698744
02	Safe first	Small	3	0.6666666666666666	0.6931471805599453
02	Safe first	Small	4	0.9	0.7984823838288746
02	Safe first	Small	5	0.875	0.9948536488870309
02	Safe first	Small	6	0.875	1.174915926471465
02	Safe first	Medium	0	0.3	0.09603120014195074
02	Safe first	Medium	1	0.75	0.356378768568293
02	Safe first	Medium	2	0.6	0.5545775022834182
02	Safe first	Medium	3	0.6	0.7021493224782871
02	Safe first	Medium	4	0.8	0.8285717523239094
02	Safe first	Medium	5	1.0	0.9948536488870309
02	Safe first	Medium	6	1.0	1.1955150881962098
02	Safe first	Large	0	0.375	0.07709616370273785
02	Safe first	Large	1	0.125	0.3235021949745246
02	Safe first	Large	2	0.5833333333333334	0.5584447662656138
02	Safe first	Large	3	0.875	0.6956270280050549
02	Safe first	Large	4	0.8333333333333334	0.8218673509653317
02	Safe first	Large	5	1.0	1.002726873694965
02	Safe first	Large	6	1.0	1.2023400623463034
03	Risky first	Small	0	0.5	0.12491482241555633
03	Risky first	Small	1	0.3	0.3867179329334545
03	Risky first	Small	2	0.5	0.5767310751724841
03	Risky first	Small	3	0.125	0.8075679667743692
03	Risky first	Small	4	0.375	0.9635033322517128
03	Risky first	Small	5	0.5	1.137489863503934
03	Risky first	Small	6	0.375	1.3316220608786833
03	Risky first	Medium	0	0.2	0.1393569742005539
03	Risky first	Medium	1	0.1	0.3625923353757316
03	Risky first	Medium	2	0.6666666666666666	0.548701448594095
03	Risky first	Medium	3	0.3333333333333333	0.7303836359111777
03	Risky first	Medium	4	0.5	0.9504123508225832
03	Risky first	Medium	5	0.375	1.1592628582289188
03	Risky first	Medium	6	0.625	1.3365727177027282
03	Risky first	Large	0	0.2	0.16307691331314184
03	Risky first	Large	1	0.3	0.3761685639025838
03	Risky first	Large	2	0.5	0.5622195819913143
03	Risky first	Large	3	0.16666666666666666	0.7415165493984303
03	Risky first	Large	4	0.5	0.9309174554314471
03	Risky first	Large	5	0.4	1.096446002359975
03	Risky first	Large	6	0.3	1.309337170757793
03	Safe first	Small	0	0.0	0.12491482241555633
03	Safe first	Small	1	0.4	0.3867179329334545
03	Safe first	Small	2	0.1	0.5767310751724841
03	Safe first	Small	3	0.0	0.8075679667743692
03	Safe first	Small	4	0.375	0.9635033322517128
03	Safe first	Small	5	0.125	1.137489863503934
03	Safe first	Small	6	0.25	1.3316220608786833
03	Safe first	Medium	0	0.0	0.1393569742005539
03	Safe first	Medium	1	0.0	0.3625923353757316
03	Safe first	Medium	2	0.0	0.548701448594095
03	Safe first	Medium	3	0.16666666666666666	0.7303836359111777
03	Safe first	Medium	4	0.3	0.9504123508225832
03	Safe first	Medium	5	0.25	1.1592628582289188
03	Safe first	Medium	6	0.125	1.3365727177027282
03	Safe first	Large	0	0.3	0.16307691331314184
03	Safe first	Large	1	0.2	0.3761685639025838
03	Safe first	Large	2	0.0	0.5622195819913143
03	Safe first	Large	3	0.25	0.7415165493984303
03	Safe first	Large	4	0.3333333333333333	0.9309174554314471
03	Safe first	Large	5	0.2	1.096446002359975
03	Safe first	Large	6	0.2	1.309337170757793
04	Risky first	Small	0	0.16666666666666666	0.06077385226465153
04	Risky first	Small	1	0.4166666666666667	0.31482053628028384
04	Risky first	Small	2	0.16666666666666666	0.5159988769037032
04	Risky first	Small	3	0.5	0.67207507742838
04	Risky first	Small	4	0.75	0.8662298107232926
04	Risky first	Small	5	1.0	1.0268974472430303
04	Risky first	Small	6	1.0	1.1910505567558578
04	Risky first	Medium	0	0.08333333333333333	0.09965650606102283
04	Risky first	Medium	1	0.0	0.25131442828090617
04	Risky first	Medium	2	0.4166666666666667	0.44858086403791914
04	Risky first	Medium	3	0.875	0.6384748803187379
04	Risky first	Medium	4	0.6666666666666666	0.8392793796756708
04	Risky first	Medium	5	0.625	1.048337301944256
04	Risky first	Medium	6	1.0	1.2090704767378695
