	rank	elpd_loo	p_loo	elpd_diff	weight	se	dse	warning	scale
PMCM model	0	-5894.572240766772	198.954966862555	0.0	0.9420018717886011	53.32423263776275	0.0	True	log
Model B: Varying priors, equal noise	1	-6115.663668214742	131.71538650349794	221.09142744796975	0.05134138714279267	51.460785173909606	21.751930093328745	False	log
Model C: Shared prior, varying noise	2	-6588.096529936416	137.23433588245462	693.524289169643	0.006656741569899166	46.01510701775085	34.268395005843985	False	log
Model A: Shared prior, equal noise	3	-6735.814034915949	77.95712884051773	841.2417941491773	4.1128411648846796e-10	43.93896887537359	37.60655285963591	False	log
Model D: Expected utility model	4	-6828.239123343276	101.90218622172415	933.6668825765041	0.0	42.64108768886565	38.70521260482115	True	log
