# Pearson r between per-participant posterior-mean PMCM parameters, 3T (rows) vs 7T (cols); n = 30 participants
param_3T	n1_evidence_sd	n2_evidence_sd	risky_prior_mu	safe_prior_mu	risky_prior_sd	safe_prior_sd
n1_evidence_sd	0.6980841311675439	0.2322126783440674	-0.07596195446831963	0.12339550809330753	0.02244927013439526	-0.21766994967343928
n2_evidence_sd	0.2064918205203678	0.5251574751592503	0.15076005149382019	0.408674584888859	-0.11364376169609686	-0.04479255651146176
risky_prior_mu	-0.20294810265621485	-0.2979862654752738	0.462639614088534	-0.3296643174936506	0.08513045876480181	0.014148281799465258
safe_prior_mu	0.4307119691509831	0.41083426753011165	-0.12541279247390863	0.5687350797500784	-0.16787810516331386	0.021452832483392633
risky_prior_sd	-0.059904363644428256	-0.2919282021286076	0.23306718963173226	-0.4556981385647455	0.7635216630494503	-0.38766218308574013
safe_prior_sd	-0.23404077682080973	-0.047918152047007515	-0.1570270323939921	0.16193100983955128	-0.3989837979478644	0.58017625062421
