# Mean generating(rows) x estimated(cols) Pearson r over 10 simulations; source=data, calibrated_design=True
generating	n1_evidence_sd	n2_evidence_sd	risky_prior_mu	safe_prior_mu	risky_prior_std	safe_prior_std
n1_evidence_sd	0.8604652579357179	0.32048698971894723	-0.35175043988007715	0.30536935469702275	-0.043472478413649374	-0.2964018980821151
n2_evidence_sd	0.4388196529900818	0.7675785656697587	-0.13710033894268153	0.47440397496100467	-0.23876729080741654	0.012029294655855827
risky_prior_mu	-0.13675536338367866	0.13489724254595717	0.7339328064861084	-0.202392607040339	0.300220028866894	-0.05220118157868945
safe_prior_mu	0.2540593812391102	0.3136889721030934	-0.3584086506144764	0.8791466020376639	-0.2753125357073371	0.009345134964609203
risky_prior_std	-0.055686230133457346	-0.34110225941907285	0.003830433253742416	-0.3265226177851548	0.9281207629208534	-0.4209017574381109
safe_prior_std	-0.21892157125484185	-0.11925139935143358	-0.05644530879990606	0.12574802152678421	-0.32081355661520117	0.8176660404519316
