model	session	x_kind	x	order	pred_mean	hdi_lo	hdi_hi	data_mean
klw	3t2	ratio	0.0	pooled	0.2252710027100271	0.19715447154471544	0.258130081300813	0.233739837398374
klw	3t2	ratio	1.0	pooled	0.2972118380062305	0.26869158878504673	0.3282710280373832	0.3247663551401869
klw	3t2	ratio	2.0	pooled	0.37175314465408804	0.3384433962264151	0.4033018867924528	0.4009433962264151
klw	3t2	ratio	3.0	pooled	0.4528951486697966	0.42018779342723006	0.4847417840375587	0.5328638497652582
klw	3t2	ratio	4.0	pooled	0.5263986599664991	0.4899497487437186	0.5590452261306532	0.5690954773869347
klw	3t2	ratio	5.0	pooled	0.6074691358024691	0.5753968253968254	0.6362433862433863	0.6706349206349206
klw	3t2	ratio	6.0	pooled	0.6588473053892215	0.624251497005988	0.6916167664670658	0.7395209580838323
klw	3t2	ratio	0.0	Safe first	0.2249661246612466	0.18902439024390244	0.26422764227642276	0.266260162601626
klw	3t2	ratio	1.0	Safe first	0.29879283489096575	0.2523364485981308	0.3411214953271028	0.34813084112149534
klw	3t2	ratio	2.0	Safe first	0.37125	0.31839622641509435	0.41273584905660377	0.46462264150943394
klw	3t2	ratio	3.0	Safe first	0.4533098591549296	0.4084507042253521	0.4953051643192488	0.57981220657277
klw	3t2	ratio	4.0	Safe first	0.5256113902847571	0.4748743718592965	0.5703517587939698	0.6256281407035176
klw	3t2	ratio	5.0	Safe first	0.605432098765432	0.5608465608465608	0.6481481481481481	0.7328042328042328
klw	3t2	ratio	6.0	Safe first	0.6581736526946108	0.6107784431137725	0.7035928143712575	0.7754491017964071
klw	3t2	ratio	0.0	Risky first	0.22557588075880758	0.18495934959349594	0.2621951219512195	0.20121951219512196
klw	3t2	ratio	1.0	Risky first	0.2956308411214953	0.2546728971962617	0.3364485981308411	0.3014018691588785
klw	3t2	ratio	2.0	Risky first	0.3722562893081761	0.32075471698113206	0.41273584905660377	0.33726415094339623
klw	3t2	ratio	3.0	Risky first	0.45248043818466355	0.4084507042253521	0.4953051643192488	0.48591549295774644
klw	3t2	ratio	4.0	Risky first	0.5271859296482412	0.4824120603015075	0.5703517587939698	0.5125628140703518
klw	3t2	ratio	5.0	Risky first	0.6095061728395061	0.5740740740740741	0.6613756613756614	0.6084656084656085
klw	3t2	ratio	6.0	Risky first	0.6595209580838324	0.5988023952095808	0.7035928143712575	0.7035928143712575
klw	3t2	safe	5.0	pooled	0.4187951388888889	0.3885416666666667	0.45	0.5552083333333333
klw	3t2	safe	7.0	pooled	0.42648958333333337	0.40208333333333335	0.4635416666666667	0.5416666666666666
klw	3t2	safe	10.0	pooled	0.43303819444444447	0.403125	0.4625	0.496875
klw	3t2	safe	14.0	pooled	0.4373680555555556	0.4041666666666667	0.4625	0.45729166666666665
klw	3t2	safe	20.0	pooled	0.4397083333333333	0.40208333333333335	0.46458333333333335	0.43020833333333336
klw	3t2	safe	28.0	pooled	0.44414583333333335	0.41770833333333335	0.47708333333333336	0.38958333333333334
klw	3t2	safe	5.0	Safe first	0.41949305555555555	0.37916666666666665	0.46041666666666664	0.5041666666666667
klw	3t2	safe	7.0	Safe first	0.42602083333333335	0.3854166666666667	0.4708333333333333	0.5270833333333333
klw	3t2	safe	10.0	Safe first	0.43361111111111117	0.39375	0.4708333333333333	0.5708333333333333
klw	3t2	safe	14.0	Safe first	0.4363263888888889	0.3958333333333333	0.47708333333333336	0.5541666666666667
klw	3t2	safe	20.0	Safe first	0.43877083333333333	0.4	0.48125	0.5125
klw	3t2	safe	28.0	Safe first	0.44361805555555556	0.4	0.48125	0.475
klw	3t2	safe	5.0	Risky first	0.4180972222222222	0.375	0.4583333333333333	0.60625
klw	3t2	safe	7.0	Risky first	0.42695833333333333	0.39166666666666666	0.46875	0.55625
klw	3t2	safe	10.0	Risky first	0.4324652777777778	0.39375	0.4708333333333333	0.42291666666666666
klw	3t2	safe	14.0	Risky first	0.43840972222222224	0.4	0.475	0.36041666666666666
klw	3t2	safe	20.0	Risky first	0.4406458333333333	0.39375	0.4791666666666667	0.34791666666666665
klw	3t2	safe	28.0	Risky first	0.44467361111111114	0.4041666666666667	0.4895833333333333	0.30416666666666664
klw	7t2	ratio	0.0	pooled	0.2602754532775453	0.22698744769874477	0.2928870292887029	0.25313807531380755
klw	7t2	ratio	1.0	pooled	0.3328998505231689	0.30493273542600896	0.36771300448430494	0.3486547085201794
klw	7t2	ratio	2.0	pooled	0.4033899676375404	0.37014563106796117	0.4356796116504854	0.42597087378640774
klw	7t2	ratio	3.0	pooled	0.48791479820627803	0.45403587443946186	0.515695067264574	0.5269058295964125
klw	7t2	ratio	4.0	pooled	0.5786525704809287	0.5422885572139303	0.6119402985074627	0.6330845771144279
klw	7t2	ratio	5.0	pooled	0.6317914438502673	0.5909090909090909	0.6631016042780749	0.6644385026737968
klw	7t2	ratio	6.0	pooled	0.703172877846791	0.6677018633540373	0.734472049689441	0.7329192546583851
klw	7t2	ratio	0.0	Safe first	0.2595397489539749	0.2175732217573222	0.29707112970711297	0.2384937238493724
klw	7t2	ratio	1.0	Safe first	0.33238415545590433	0.2914798206278027	0.37668161434977576	0.35874439461883406
klw	7t2	ratio	2.0	Safe first	0.40372977346278316	0.34951456310679613	0.44660194174757284	0.46844660194174753
klw	7t2	ratio	3.0	Safe first	0.4882660687593423	0.4484304932735426	0.5336322869955157	0.57847533632287
klw	7t2	ratio	4.0	Safe first	0.5799585406301824	0.527363184079602	0.6169154228855721	0.6840796019900498
klw	7t2	ratio	5.0	Safe first	0.6308110516934047	0.5802139037433155	0.6844919786096256	0.7032085561497327
klw	7t2	ratio	6.0	Safe first	0.7024223602484473	0.6521739130434783	0.7453416149068323	0.7701863354037267
