bin(n_safe)	risky_first	bin(risky/safe)	chose_risky	pred_mean	hdi_lower	hdi_upper	model_label
Small	False	0	0.15326633165829145	0.1965075376884422	0.16331658291457288	0.23618090452261306	42
Small	False	1	0.3609022556390977	0.293671679197995	0.24436090225563908	0.3533834586466165	42
Small	False	2	0.4166666666666667	0.3518055555555556	0.2916666666666667	0.4041666666666667	42
Small	False	3	0.5874125874125874	0.44990675990675993	0.38461538461538464	0.5	42
Small	False	4	0.7205882352941176	0.5347794117647059	0.4632352941176471	0.5845588235294118	42
Small	False	5	0.7478991596638656	0.6106442577030813	0.5462184873949579	0.6680672268907563	42
Small	False	6	0.8454545454545455	0.6898787878787879	0.6409090909090909	0.740909090909091	42
Small	True	0	0.3065326633165829	0.24223618090452262	0.1984924623115578	0.28391959798994976	42
Small	True	1	0.46616541353383456	0.33918546365914787	0.2857142857142857	0.40225563909774437	42
Small	True	2	0.5333333333333333	0.40161111111111114	0.3375	0.45416666666666666	42
Small	True	3	0.6643356643356644	0.4797086247086247	0.42657342657342656	0.534965034965035	42
Small	True	4	0.7463235294117647	0.5555882352941177	0.5	0.6139705882352942	42
Small	True	5	0.8109243697478992	0.6282072829131653	0.5672268907563025	0.6848739495798319	42
Small	True	6	0.8090909090909091	0.6999848484848485	0.6545454545454545	0.759090909090909	42
Medium	False	0	0.2652439024390244	0.23421747967479675	0.18292682926829268	0.2804878048780488	42
Medium	False	1	0.44776119402985076	0.3243407960199005	0.26865671641791045	0.3805970149253731	42
Medium	False	2	0.51953125	0.41061197916666664	0.3359375	0.45703125	42
Medium	False	3	0.5652173913043478	0.4875	0.42028985507246375	0.5434782608695652	42
Medium	False	4	0.6778523489932886	0.5831319910514541	0.5201342281879194	0.6375838926174496	42
Medium	False	5	0.7611940298507462	0.6621517412935324	0.6044776119402985	0.7052238805970149	42
Medium	False	6	0.7787610619469026	0.7358259587020649	0.6902654867256637	0.7831858407079646	42
Medium	True	0	0.1798780487804878	0.20772357723577237	0.16463414634146342	0.24695121951219512	42
Medium	True	1	0.25	0.28139303482587064	0.22761194029850745	0.332089552238806	42
Medium	True	2	0.359375	0.3540494791666667	0.29296875	0.40234375	42
Medium	True	3	0.4384057971014493	0.42495169082125606	0.37318840579710144	0.48188405797101447	42
Medium	True	4	0.5268456375838926	0.49840044742729306	0.4463087248322148	0.5469798657718121	42
Medium	True	5	0.5895522388059702	0.5824626865671642	0.5298507462686567	0.6417910447761194	42
Medium	True	6	0.6769911504424779	0.6596902654867257	0.588495575221239	0.7079646017699115	42
Large	False	0	0.29044117647058826	0.27074754901960785	0.21691176470588236	0.31985294117647056	42
Large	False	1	0.34615384615384615	0.3633566433566433	0.3076923076923077	0.4160839160839161	42
Large	False	2	0.42028985507246375	0.4653019323671498	0.39855072463768115	0.5144927536231884	42
Large	False	3	0.5551470588235294	0.5428553921568627	0.47794117647058826	0.5919117647058824	42
Large	False	4	0.5962962962962963	0.6376913580246913	0.5740740740740741	0.6888888888888889	42
Large	False	5	0.6267123287671232	0.7043949771689497	0.6575342465753424	0.7534246575342466	42
Large	False	6	0.6666666666666666	0.7611507936507936	0.7222222222222222	0.8095238095238095	42
Large	True	0	0.12867647058823528	0.16785539215686276	0.1323529411764706	0.21323529411764705	42
Large	True	1	0.20279720279720279	0.24460372960372959	0.1958041958041958	0.2902097902097902	42
Large	True	2	0.25	0.3071256038647343	0.2572463768115942	0.358695652173913	42
Large	True	3	0.29411764705882354	0.37814950980392154	0.33088235294117646	0.4411764705882353	42
Large	True	4	0.43703703703703706	0.4611975308641975	0.3962962962962963	0.5185185185185185	42
Large	True	5	0.5	0.5136415525114155	0.4589041095890411	0.571917808219178	42
Large	True	6	0.5436507936507936	0.5989550264550265	0.5476190476190477	0.6587301587301587	42
