subject	mean	low	high	risk_profile	panel
02	0.08234956585528111	0.017064784909573416	0.15815984057960936	risk-seeking	Evidence SD (difference)
03	0.14040323754798187	0.04917082651722404	0.2554495908707882	risk-neutral	Evidence SD (difference)
04	0.039832978907036735	0.006455612482682671	0.08095628374510816	risk-averse	Evidence SD (difference)
05	0.14771793427120733	0.045164250059663735	0.2813839912768156	risk-averse	Evidence SD (difference)
06	0.09260395868352818	0.028811521842399962	0.1633173520840895	risk-averse	Evidence SD (difference)
07	0.05667389356170289	0.017172274329094822	0.10262301098021806	risk-averse	Evidence SD (difference)
08	0.06833734871077943	-0.001896180925049895	0.14960802027685882	risk-averse	Evidence SD (difference)
09	0.09012190582068276	0.014576439485478987	0.17521653175372498	risk-neutral	Evidence SD (difference)
10	0.08650689021223805	0.036605444956794686	0.14309611771286584	risk-neutral	Evidence SD (difference)
11	0.08078701945755959	0.030817624759609058	0.13361750425699923	risk-averse	Evidence SD (difference)
12	0.1147499916937026	0.04163488031272519	0.19418051782753412	risk-seeking	Evidence SD (difference)
13	0.0436724253851237	0.009919662702263965	0.08716361590770771	risk-averse	Evidence SD (difference)
14	0.005860604473810575	-0.0184111301451583	0.03117407181929105	risk-seeking	Evidence SD (difference)
15	0.07737594682798386	-0.0019580347574812973	0.16496452973170778	risk-averse	Evidence SD (difference)
16	0.14110339363346389	0.07168257149454255	0.22087133642873735	risk-neutral	Evidence SD (difference)
17	0.028622165007357328	-0.0009050090747750317	0.062344712994429785	risk-seeking	Evidence SD (difference)
18	0.14626584335551293	0.07300444923481367	0.22318470041321742	risk-seeking	Evidence SD (difference)
19	0.09613416365848466	0.036930440306856466	0.1613008895974517	risk-neutral	Evidence SD (difference)
20	0.0681124709595616	0.01665824964751056	0.12032192714412429	risk-averse	Evidence SD (difference)
21	0.04313098819352658	-0.03386056494741918	0.12110808029820325	risk-averse	Evidence SD (difference)
22	0.1590489006304097	0.08496368968291243	0.23746783757686302	risk-averse	Evidence SD (difference)
23	0.09518102193098871	0.03311876280068979	0.16211174307609352	risk-seeking	Evidence SD (difference)
25	0.04985372831124834	-0.0660390108470362	0.1503045793505967	risk-neutral	Evidence SD (difference)
26	0.005830491584521434	-0.024098878188462097	0.03689372422617246	risk-seeking	Evidence SD (difference)
27	0.1483532896338018	0.06825678137929708	0.22421052407610148	risk-seeking	Evidence SD (difference)
28	0.030502610597444735	-0.022542146205158042	0.09266870024666624	risk-neutral	Evidence SD (difference)
29	0.10742000678163817	0.027616396773021856	0.2134054346929385	risk-neutral	Evidence SD (difference)
