chain	draw	Neural uncertainty	distance_to_risk_neutral
0	0	High neural uncertainty	0.18004127964950942
0	0	Low neural uncertainty	0.162828381589022
0	1	High neural uncertainty	0.17792670056001916
0	1	Low neural uncertainty	0.15942666587362628
0	2	High neural uncertainty	0.18032055392078572
0	2	Low neural uncertainty	0.1621873466097504
0	3	High neural uncertainty	0.18532477702681957
0	3	Low neural uncertainty	0.16267514640677738
0	4	High neural uncertainty	0.17635740322126547
0	4	Low neural uncertainty	0.16237777032475562
0	5	High neural uncertainty	0.1896522127061166
0	5	Low neural uncertainty	0.16882274665712457
0	6	High neural uncertainty	0.18100474973931113
0	6	Low neural uncertainty	0.1715289954130876
0	7	High neural uncertainty	0.18062954082822247
0	7	Low neural uncertainty	0.17039735325643565
0	8	High neural uncertainty	0.18379688700515492
0	8	Low neural uncertainty	0.16803412080183597
0	9	High neural uncertainty	0.1734147145609607
0	9	Low neural uncertainty	0.1664074488724826
0	10	High neural uncertainty	0.1805236498020847
0	10	Low neural uncertainty	0.16381038346844046
0	11	High neural uncertainty	0.18807480670020885
0	11	Low neural uncertainty	0.17238310481410687
0	12	High neural uncertainty	0.17694334962252037
0	12	Low neural uncertainty	0.15847061394904896
0	13	High neural uncertainty	0.18162680777476745
0	13	Low neural uncertainty	0.16365056943268333
0	14	High neural uncertainty	0.17050782673181056
0	14	Low neural uncertainty	0.15892929677565024
0	15	High neural uncertainty	0.17814186585725725
0	15	Low neural uncertainty	0.16618169544244002
0	16	High neural uncertainty	0.17593280121746377
0	16	Low neural uncertainty	0.16459468949150338
0	17	High neural uncertainty	0.17401567905347795
0	17	Low neural uncertainty	0.1600085815924231
0	18	High neural uncertainty	0.17853523290161605
0	18	Low neural uncertainty	0.16845921981353065
0	19	High neural uncertainty	0.1821766057105226
0	19	Low neural uncertainty	0.16928887428730047
0	20	High neural uncertainty	0.18957419942009904
0	20	Low neural uncertainty	0.1683850005411647
0	21	High neural uncertainty	0.1752047271626991
0	21	Low neural uncertainty	0.16337011082717534
0	22	High neural uncertainty	0.1833221589836894
0	22	Low neural uncertainty	0.16414234352951673
0	23	High neural uncertainty	0.185843718724782
0	23	Low neural uncertainty	0.16361250037329184
0	24	High neural uncertainty	0.17416316738063914
0	24	Low neural uncertainty	0.16228090166108816
0	25	High neural uncertainty	0.18469892191714365
0	25	Low neural uncertainty	0.17133203612792813
0	26	High neural uncertainty	0.17749444568293782
0	26	Low neural uncertainty	0.16753875454603095
0	27	High neural uncertainty	0.18107762041269257
0	27	Low neural uncertainty	0.15640381620583524
0	28	High neural uncertainty	0.18421595395349005
0	28	Low neural uncertainty	0.16597270080100654
0	29	High neural uncertainty	0.18181175996847995
0	29	Low neural uncertainty	0.1610512470013093
0	30	High neural uncertainty	0.1807373545037378
0	30	Low neural uncertainty	0.1664650162227405
0	31	High neural uncertainty	0.17818223430454105
0	31	Low neural uncertainty	0.16463843540295756
0	32	High neural uncertainty	0.18445199179013608
0	32	Low neural uncertainty	0.16375913658515276
0	33	High neural uncertainty	0.17326766914340924
0	33	Low neural uncertainty	0.16147323275515407
0	34	High neural uncertainty	0.18606513209245804
0	34	Low neural uncertainty	0.17003212083109884
0	35	High neural uncertainty	0.18497713572770666
0	35	Low neural uncertainty	0.16734848616549386
0	36	High neural uncertainty	0.18083784394733682
0	36	Low neural uncertainty	0.169254218629714
0	37	High neural uncertainty	0.17860321785701191
0	37	Low neural uncertainty	0.16811937215603193
0	38	High neural uncertainty	0.1764697073795354
0	38	Low neural uncertainty	0.16730018216691808
0	39	High neural uncertainty	0.18093586044893284
0	39	Low neural uncertainty	0.16411388590071072
0	40	High neural uncertainty	0.1768280143912989
0	40	Low neural uncertainty	0.17006192390559102
0	41	High neural uncertainty	0.183072807961172
0	41	Low neural uncertainty	0.16862407574364105
