session	run	trial_nr	n1	n2	prob1	prob2	risky_first	n_risky	n_safe	log_risky_safe	choice	chose_risky	rt	certainty
3t2	1	1	9.0	5.0	0.55	1.0	True	9.0	5.0	0.5877866649021191	2	False	1.0368588381716108	1.0
3t2	1	2	27.0	14.0	0.55	1.0	True	27.0	14.0	0.6567795363890705	2	False	1.040506992849231	1.0
3t2	1	3	8.0	5.0	0.55	1.0	True	8.0	5.0	0.47000362924573563	2	False	1.1409177342029508	1.0
3t2	1	4	18.0	14.0	0.55	1.0	True	18.0	14.0	0.25131442828090617	2	False	1.3749712963199272	1.0
3t2	1	5	14.0	7.0	0.55	1.0	True	14.0	7.0	0.6931471805599453	1	True	0.6575408556564071	1.0
3t2	1	6	33.0	20.0	0.55	1.0	True	33.0	20.0	0.5007752879124892	2	False	1.0406040278576398	1.0
3t2	1	7	9.0	5.0	0.55	1.0	True	9.0	5.0	0.5877866649021191	1	True	0.9905291421436999	1.0
3t2	1	8	11.0	7.0	0.55	1.0	True	11.0	7.0	0.4519851237430572	2	False	1.357921461913051	2.0
3t2	1	9	37.0	28.0	0.55	1.0	True	37.0	28.0	0.2787134024690205	2	False	0.7735908075901534	1.0
3t2	1	10	36.0	20.0	0.55	1.0	True	36.0	20.0	0.5877866649021191	1	True	1.5416994385832652	1.0
3t2	1	11	29.0	14.0	0.55	1.0	True	29.0	14.0	0.7282385003712155	1	True	0.8403557146684477	1.0
3t2	1	12	15.0	10.0	0.55	1.0	True	15.0	10.0	0.4054651081081644	1	True	1.007304445831295	1.0
3t2	1	13	10.0	16.0	1.0	0.55	False	16.0	10.0	0.47000362924573563	2	True	3.2806565834634966	1.0
3t2	1	14	14.0	20.0	1.0	0.55	False	20.0	14.0	0.3566749439387324		True		
3t2	1	15	10.0	22.0	1.0	0.55	False	22.0	10.0	0.7884573603642703	2	True	3.7128942047202145	4.0
3t2	1	16	10.0	21.0	1.0	0.55	False	21.0	10.0	0.7419373447293773	2	True	0.6570122860775598	1.0
3t2	1	17	28.0	37.0	1.0	0.55	False	37.0	28.0	0.2787134024690205	2	True	0.9572042466388666	1.0
3t2	1	18	10.0	13.0	1.0	0.55	False	13.0	10.0	0.26236426446749106	1	False	0.9740319853917185	1.0
3t2	1	19	14.0	21.0	1.0	0.55	False	21.0	14.0	0.4054651081081644	2	True	0.8905526475191436	4.0
3t2	1	20	10.0	16.0	1.0	0.55	False	16.0	10.0	0.47000362924573563	1	False	0.9571267994415962	1.0
3t2	1	21	28.0	54.0	1.0	0.55	False	54.0	28.0	0.6567795363890705	2	True	0.5731423973683718	1.0
3t2	1	22	10.0	19.0	1.0	0.55	False	19.0	10.0	0.6418538861723947	1	False	0.973975934113696	1.0
3t2	1	23	20.0	31.0	1.0	0.55	False	31.0	20.0	0.4382549309311553	1	False	1.1429358815585147	1.0
3t2	1	24	20.0	42.0	1.0	0.55	False	42.0	20.0	0.7419373447293773	2	True	0.5061816121669835	1.0
3t2	2	25	10.0	19.0	1.0	0.55	False	19.0	10.0	0.6418538861723947	2	True	0.9945286720358126	1.0
3t2	2	26	28.0	47.0	1.0	0.55	False	47.0	28.0	0.5179430915348546	1	False	1.058193883178319	1.0
3t2	2	27	7.0	10.0	1.0	0.55	False	10.0	7.0	0.3566749439387324	1	False	0.9740527786052553	1.0
3t2	2	28	14.0	20.0	1.0	0.55	False	20.0	14.0	0.3566749439387324	2	True	1.3077745533210106	1.0
3t2	2	29	20.0	33.0	1.0	0.55	False	33.0	20.0	0.5007752879124892	2	True	0.8067758762535959	1.0
3t2	2	30	7.0	15.0	1.0	0.55	False	15.0	7.0	0.7621400520468967	2	True	1.7423813957975653	2.0
3t2	2	31	7.0	10.0	1.0	0.55	False	10.0	7.0	0.3566749439387324	2	True	0.6899433158851167	1.0
3t2	2	32	7.0	12.0	1.0	0.55	False	12.0	7.0	0.5389965007326869	1	False	1.9759666585287192	1.0
3t2	2	33	14.0	31.0	1.0	0.55	False	31.0	14.0	0.7949298748698876	2	True	0.5565337407588231	1.0
3t2	2	34	20.0	33.0	1.0	0.55	False	33.0	20.0	0.5007752879124892	2	True	0.5567386594102857	1.0
3t2	2	35	20.0	39.0	1.0	0.55	False	39.0	20.0	0.6678293725756554	2	True	0.5732168310533154	1.0
