session	run	trial_nr	n1	n2	prob1	prob2	risky_first	n_risky	n_safe	log_risky_safe	choice	chose_risky	rt	certainty
3t2	1	1	41.0	28.0	0.55	1.0	True	41.0	28.0	0.3813675565291038	2	False	0.8996271999999443	1.0
3t2	1	2	29.0	20.0	0.55	1.0	True	29.0	20.0	0.371563556432483	1	True	1.5000525999999041	3.0
3t2	1	3	71.0	28.0	0.55	1.0	True	71.0	28.0	0.9304753668661114	1	True	0.4832538000000568	1.0
3t2	1	4	23.0	14.0	0.55	1.0	True	23.0	14.0	0.49643688631389105	2	False	0.8969955000000311	2.0
3t2	1	5	17.0	7.0	0.55	1.0	True	17.0	7.0	0.8873031950009027	1	True	0.9764956999999868	1.0
3t2	1	6	15.0	7.0	0.55	1.0	True	15.0	7.0	0.7621400520468967	1	True	0.6972143000000415	1.0
3t2	1	7	28.0	28.0	0.55	1.0	True	28.0	28.0	0.0	2	False	1.3439705999999205	1.0
3t2	1	8	13.0	10.0	0.55	1.0	True	13.0	10.0	0.26236426446749106	1	True	1.43487709999998	1.0
3t2	1	9	34.0	20.0	0.55	1.0	True	34.0	20.0	0.5306282510621704	1	True	1.455575200000169	3.0
3t2	1	10	13.0	10.0	0.55	1.0	True	13.0	10.0	0.26236426446749106	2	False	1.3620181999999375	2.0
3t2	1	11	11.0	7.0	0.55	1.0	True	11.0	7.0	0.4519851237430572	2	False	0.783678899999785	1.0
3t2	1	12	9.0	7.0	0.55	1.0	True	9.0	7.0	0.25131442828090617	2	False	0.7251369000000807	1.0
3t2	1	13	28.0	28.0	1.0	0.55	False	28.0	28.0	0.0	1	False	0.855878999999959	1.0
3t2	1	14	7.0	7.0	1.0	0.55	False	7.0	7.0	0.0	1	False	0.7298687999998492	1.0
3t2	1	15	20.0	29.0	1.0	0.55	False	29.0	20.0	0.371563556432483	2	True	0.8992869999999584	2.0
3t2	1	16	28.0	32.0	1.0	0.55	False	32.0	28.0	0.13353139262452257	2	True	1.2323618999998303	3.0
3t2	1	17	10.0	14.0	1.0	0.55	False	14.0	10.0	0.3364722366212129	1	False	1.2391943000000083	2.0
3t2	1	18	14.0	14.0	1.0	0.55	False	14.0	14.0	0.0	1	False	1.0389674000000468	2.0
3t2	1	19	14.0	18.0	1.0	0.55	False	18.0	14.0	0.25131442828090617	1	False	0.8501227000001563	2.0
3t2	1	20	20.0	29.0	1.0	0.55	False	29.0	20.0	0.371563556432483	1	False	1.271693500000083	2.0
3t2	1	21	14.0	16.0	1.0	0.55	False	16.0	14.0	0.13353139262452257	1	False	1.231614900000011	2.0
3t2	1	22	28.0	36.0	1.0	0.55	False	36.0	28.0	0.25131442828090617	2	True	1.1456559999999172	3.0
3t2	1	23	5.0	12.0	1.0	0.55	False	12.0	5.0	0.8754687373538999	2	True	1.1081034999999702	1.0
3t2	1	24	10.0	22.0	1.0	0.55	False	22.0	10.0	0.7884573603642703	2	True	0.7028817000000913	2.0
3t2	2	25	6.0	5.0	0.55	1.0	True	6.0	5.0	0.1823215567939546	2	False	1.6044027999998889	1.0
3t2	2	26	12.0	5.0	0.55	1.0	True	12.0	5.0	0.8754687373538999	1	True	0.8543608999998469	2.0
3t2	2	27	22.0	20.0	0.55	1.0	True	22.0	20.0	0.09531017980432493	2	False	0.8279529999999795	1.0
3t2	2	28	20.0	20.0	0.55	1.0	True	20.0	20.0	0.0	2	False	0.6230250000000979	1.0
3t2	2	29	44.0	20.0	0.55	1.0	True	44.0	20.0	0.7884573603642703	1	True	1.6901486999999946	3.0
3t2	2	30	36.0	28.0	0.55	1.0	True	36.0	28.0	0.25131442828090617	2	False	1.0310735000000477	1.0
3t2	2	31	14.0	14.0	0.55	1.0	True	14.0	14.0	0.0	2	False	1.5060611999999622	3.0
3t2	2	32	11.0	10.0	0.55	1.0	True	11.0	10.0	0.09531017980432493	2	False	0.6544045000000551	3.0
3t2	2	33	20.0	14.0	0.55	1.0	True	20.0	14.0	0.3566749439387324	2	False	0.7228160999998181	1.0
3t2	2	34	11.0	10.0	0.55	1.0	True	11.0	10.0	0.09531017980432493	1	True	1.8766551999999592	3.0
3t2	2	35	8.0	5.0	0.55	1.0	True	8.0	5.0	0.47000362924573563	1	True	1.0585015000001476	1.0
3t2	2	36	27.0	14.0	0.55	1.0	True	27.0	14.0	0.6567795363890705	2	False	0.6865560999999332	1.0
3t2	2	37	28.0	62.0	1.0	0.55	False	62.0	28.0	0.7949298748698876	2	True	1.1872745000000293	3.0
3t2	2	38	14.0	16.0	1.0	0.55	False	16.0	14.0	0.13353139262452257	1	False	1.3618396999999902	2.0
