session	run	trial_nr	n1	n2	prob1	prob2	risky_first	n_risky	n_safe	log_risky_safe	choice	chose_risky	rt	certainty
3t2	1	1	34.0	28.0	0.55	1.0	True	34.0	28.0	0.1941560144409574	2	False	0.9817546999997546	2.0
3t2	1	2	11.0	7.0	0.55	1.0	True	11.0	7.0	0.4519851237430572	1	True	0.8115532999999999	3.0
3t2	1	3	6.0	5.0	0.55	1.0	True	6.0	5.0	0.1823215567939546	2	False	0.800953400000239	3.0
3t2	1	4	52.0	28.0	0.55	1.0	True	52.0	28.0	0.6190392084062235	1	True	0.9845451999999568	2.0
3t2	1	5	27.0	20.0	0.55	1.0	True	27.0	20.0	0.30010459245033816	1	True	1.0493051000003106	2.0
3t2	1	6	21.0	14.0	0.55	1.0	True	21.0	14.0	0.4054651081081644	1	True	0.860007900000241	3.0
3t2	1	7	37.0	20.0	0.55	1.0	True	37.0	20.0	0.6151856390902335	1	True	0.8105885999998463	3.0
3t2	1	8	14.0	14.0	0.55	1.0	True	14.0	14.0	0.0	1	True	0.9438556000000347	3.0
3t2	1	9	58.0	28.0	0.55	1.0	True	58.0	28.0	0.7282385003712155	1	True	0.921340599999894	2.0
3t2	1	10	28.0	28.0	0.55	1.0	True	28.0	28.0	0.0	2	False	0.9677883999998187	3.0
3t2	1	11	12.0	10.0	0.55	1.0	True	12.0	10.0	0.1823215567939546	1	True	0.7584636000001694	3.0
3t2	1	12	14.0	14.0	0.55	1.0	True	14.0	14.0	0.0	2	False	0.8570958999999334	3.0
3t2	1	13	5.0	8.0	1.0	0.55	False	8.0	5.0	0.47000362924573563	1	False	1.2536040000004505	2.0
3t2	1	14	14.0	14.0	1.0	0.55	False	14.0	14.0	0.0	2	True	0.9429585999996561	3.0
3t2	1	15	7.0	13.0	1.0	0.55	False	13.0	7.0	0.6190392084062235	2	True	0.7233846999997695	3.0
3t2	1	16	14.0	17.0	1.0	0.55	False	17.0	14.0	0.1941560144409574	2	True	0.8859781000001874	3.0
3t2	1	17	28.0	31.0	1.0	0.55	False	31.0	28.0	0.10178269430994238	2	True	1.3039349000000016	3.0
3t2	1	18	20.0	20.0	1.0	0.55	False	20.0	20.0	0.0		True		
3t2	1	19	7.0	7.0	1.0	0.55	False	7.0	7.0	0.0	1	False	0.642845600000328	3.0
3t2	1	20	20.0	24.0	1.0	0.55	False	24.0	20.0	0.1823215567939546	2	True	0.8415752000000793	3.0
3t2	1	21	20.0	27.0	1.0	0.55	False	27.0	20.0	0.30010459245033816	1	False	0.8078303000002052	1.0
3t2	1	22	14.0	21.0	1.0	0.55	False	21.0	14.0	0.4054651081081644	1	False	0.9650928000000931	2.0
3t2	1	23	20.0	30.0	1.0	0.55	False	30.0	20.0	0.4054651081081644	1	False	0.9177351999996972	2.0
3t2	1	24	5.0	8.0	1.0	0.55	False	8.0	5.0	0.47000362924573563	1	False	1.4775898000007146	2.0
3t2	2	25	28.0	52.0	1.0	0.55	False	52.0	28.0	0.6190392084062235	2	True	1.6629825999998538	3.0
3t2	2	26	28.0	31.0	1.0	0.55	False	31.0	28.0	0.10178269430994238	1	False	1.0581333000000086	2.0
3t2	2	27	28.0	47.0	1.0	0.55	False	47.0	28.0	0.5179430915348546	2	True	0.6765957000006892	2.0
3t2	2	28	14.0	23.0	1.0	0.55	False	23.0	14.0	0.49643688631389105	1	False	1.1465925000002244	2.0
3t2	2	29	20.0	41.0	1.0	0.55	False	41.0	20.0	0.7178397931503168	2	True	0.7501929999998538	3.0
3t2	2	30	7.0	7.0	1.0	0.55	False	7.0	7.0	0.0	1	False	1.1695728000004237	3.0
3t2	2	31	10.0	11.0	1.0	0.55	False	11.0	10.0	0.09531017980432493	2	True	1.0039552999996886	3.0
3t2	2	32	28.0	28.0	1.0	0.55	False	28.0	28.0	0.0	1	False	0.8197565999998773	2.0
3t2	2	33	14.0	19.0	1.0	0.55	False	19.0	14.0	0.3053816495511819	1	False	1.192367399999938	2.0
3t2	2	34	20.0	20.0	1.0	0.55	False	20.0	20.0	0.0	1	False	1.1454568999997718	3.0
3t2	2	35	7.0	9.0	1.0	0.55	False	9.0	7.0	0.25131442828090617	1	False	0.8485020000007637	3.0
3t2	2	36	10.0	11.0	1.0	0.55	False	11.0	10.0	0.09531017980432493	1	False	0.89490829999977	3.0
3t2	2	37	37.0	20.0	0.55	1.0	True	37.0	20.0	0.6151856390902335	1	True	1.0001465999994252	3.0
3t2	2	38	16.0	10.0	0.55	1.0	True	16.0	10.0	0.47000362924573563	2	False	1.626378699999833	2.0
3t2	2	39	10.0	7.0	0.55	1.0	True	10.0	7.0	0.3566749439387324	2	False	0.9854317999998443	3.0
3t2	2	40	28.0	28.0	0.55	1.0	True	28.0	28.0	0.0	2	False	1.413860399999976	2.0
3t2	2	41	5.0	5.0	0.55	1.0	True	5.0	5.0	0.0	2	False	1.8139585999997507	2.0
3t2	2	42	15.0	14.0	0.55	1.0	True	15.0	14.0	0.06899287148695142	1	True	0.9169330000004265	3.0
3t2	2	43	10.0	7.0	0.55	1.0	True	10.0	7.0	0.3566749439387324	2	False	0.9517215000005308	2.0
3t2	2	44	15.0	10.0	0.55	1.0	True	15.0	10.0	0.4054651081081644	2	False	0.8368196000001262	2.0
3t2	2	45	6.0	5.0	0.55	1.0	True	6.0	5.0	0.1823215567939546	2	False	1.5901355999994848	3.0
3t2	2	46	11.0	10.0	0.55	1.0	True	11.0	10.0	0.09531017980432493	2	False	1.4744883000003028	2.0
3t2	2	47	13.0	10.0	0.55	1.0	True	13.0	10.0	0.26236426446749106	2	False	1.6294489000001704	3.0
3t2	2	48	23.0	14.0	0.55	1.0	True	23.0	14.0	0.49643688631389105	2	False	0.6505495000000678	2.0
3t2	3	49	47.0	28.0	0.55	1.0	True	47.0	28.0	0.5179430915348546	1	True	0.9220918000000893	3.0
3t2	3	50	26.0	14.0	0.55	1.0	True	26.0	14.0	0.6190392084062235	2	False	1.4911763000000064	3.0
3t2	3	51	11.0	7.0	0.55	1.0	True	11.0	7.0	0.4519851237430572	1	True	1.2711544000003414	3.0
3t2	3	52	41.0	20.0	0.55	1.0	True	41.0	20.0	0.7178397931503168	1	True	0.7250617999998212	2.0
3t2	3	53	38.0	28.0	0.55	1.0	True	38.0	28.0	0.3053816495511819	2	False	1.615844099999805	3.0
3t2	3	54	13.0	7.0	0.55	1.0	True	13.0	7.0	0.6190392084062235	1	True	1.0258923000001374	2.0
3t2	3	55	10.0	10.0	0.55	1.0	True	10.0	10.0	0.0	2	False	0.772852900000558	3.0
3t2	3	56	14.0	7.0	0.55	1.0	True	14.0	7.0	0.6931471805599453	1	True	1.0650666999999885	2.0
3t2	3	57	15.0	14.0	0.55	1.0	True	15.0	14.0	0.06899287148695142	2	False	0.7050636999993003	3.0
3t2	3	58	21.0	14.0	0.55	1.0	True	21.0	14.0	0.4054651081081644	2	False	1.072974400000021	3.0
3t2	3	59	8.0	5.0	0.55	1.0	True	8.0	5.0	0.47000362924573563	1	True	1.2550267000005704	3.0
3t2	3	60	27.0	20.0	0.55	1.0	True	27.0	20.0	0.30010459245033816	2	False	0.7220068999994851	3.0
3t2	3	61	14.0	17.0	1.0	0.55	False	17.0	14.0	0.1941560144409574	2	True	0.7608771999994133	3.0
3t2	3	62	28.0	58.0	1.0	0.55	False	58.0	28.0	0.7282385003712155	2	True	0.8847089000000494	2.0
3t2	3	63	7.0	14.0	1.0	0.55	False	14.0	7.0	0.6931471805599453	2	True	0.8139844999996058	3.0
3t2	3	64	7.0	14.0	1.0	0.55	False	14.0	7.0	0.6931471805599453	1	False	1.2397655999994015	3.0
3t2	3	65	7.0	8.0	1.0	0.55	False	8.0	7.0	0.13353139262452257	1	False	0.9816998999995121	3.0
3t2	3	66	7.0	13.0	1.0	0.55	False	13.0	7.0	0.6190392084062235	2	True	0.7052293000006102	3.0
3t2	3	67	10.0	20.0	1.0	0.55	False	20.0	10.0	0.6931471805599453	2	True	0.46530159999934995	2.0
3t2	3	68	28.0	58.0	1.0	0.55	False	58.0	28.0	0.7282385003712155	2	True	0.8646293000001606	2.0
3t2	3	69	28.0	52.0	1.0	0.55	False	52.0	28.0	0.6190392084062235	1	False	1.7098044000003938	2.0
3t2	3	70	20.0	41.0	1.0	0.55	False	41.0	20.0	0.7178397931503168	1	False	1.1459372999997868	2.0
3t2	3	71	14.0	26.0	1.0	0.55	False	26.0	14.0	0.6190392084062235	2	True	1.093713100000059	3.0
3t2	3	72	5.0	5.0	1.0	0.55	False	5.0	5.0	0.0	1	False	1.5243407999996634	1.0
3t2	4	73	7.0	7.0	0.55	1.0	True	7.0	7.0	0.0	2	False	0.8777178000000205	3.0
3t2	4	74	17.0	14.0	0.55	1.0	True	17.0	14.0	0.1941560144409574	2	False	0.6738322999999582	2.0
3t2	4	75	8.0	5.0	0.55	1.0	True	8.0	5.0	0.47000362924573563	1	True	0.915205799999967	3.0
3t2	4	76	7.0	7.0	0.55	1.0	True	7.0	7.0	0.0	2	False	0.7573963999993794	3.0
3t2	4	77	13.0	7.0	0.55	1.0	True	13.0	7.0	0.6190392084062235	1	True	1.1396921000005023	3.0
3t2	4	78	31.0	28.0	0.55	1.0	True	31.0	28.0	0.10178269430994238	2	False	0.5683402999993632	1.0
3t2	4	79	10.0	5.0	0.55	1.0	True	10.0	5.0	0.6931471805599453	1	True	2.1503035000005326	3.0
3t2	4	80	22.0	20.0	0.55	1.0	True	22.0	20.0	0.09531017980432493	2	False	1.3138007000007121	2.0
3t2	4	81	34.0	28.0	0.55	1.0	True	34.0	28.0	0.1941560144409574	2	False	0.800603300000148	1.0
3t2	4	82	11.0	10.0	0.55	1.0	True	11.0	10.0	0.09531017980432493	2	False	0.7241032000001724	1.0
3t2	4	83	29.0	14.0	0.55	1.0	True	29.0	14.0	0.7282385003712155	2	False	0.9956038000000262	2.0
3t2	4	84	58.0	28.0	0.55	1.0	True	58.0	28.0	0.7282385003712155	2	False	1.0268545999997514	2.0
3t2	4	85	20.0	30.0	1.0	0.55	False	30.0	20.0	0.4054651081081644	1	False	0.9818434999997407	3.0
3t2	4	86	14.0	26.0	1.0	0.55	False	26.0	14.0	0.6190392084062235	2	True	0.7245119999997769	3.0
3t2	4	87	5.0	6.0	1.0	0.55	False	6.0	5.0	0.1823215567939546	1	False	1.1399490000003425	3.0
3t2	4	88	14.0	14.0	1.0	0.55	False	14.0	14.0	0.0	1	False	0.6477273999998943	2.0
3t2	4	89	5.0	5.0	1.0	0.55	False	5.0	5.0	0.0	1	False	0.7613686000004236	2.0
3t2	4	90	20.0	33.0	1.0	0.55	False	33.0	20.0	0.5007752879124892	1	False	0.8810210000001462	2.0
