session	run	trial_nr	n1	n2	prob1	prob2	risky_first	n_risky	n_safe	log_risky_safe	choice	chose_risky	rt	certainty
3t2	1	1	107.0	28.0	0.55	1.0	True	107.0	28.0	1.3406243242867022	2	False	2.064106000000251	2.0
3t2	1	2	12.0	7.0	0.55	1.0	True	12.0	7.0	0.5389965007326869	1	True	1.3953996000000188	1.0
3t2	1	3	24.0	14.0	0.55	1.0	True	24.0	14.0	0.5389965007326869	2	False	1.9630526999999347	1.0
3t2	1	4	36.0	14.0	0.55	1.0	True	36.0	14.0	0.9444616088408515	1	True	2.0941720000000714	2.0
3t2	1	5	51.0	20.0	0.55	1.0	True	51.0	20.0	0.9360933591703348	1	True	1.5954324000003908	2.0
3t2	1	6	26.0	7.0	0.55	1.0	True	26.0	7.0	1.3121863889661687	1	True	1.273577799999643	1.0
3t2	1	7	82.0	28.0	0.55	1.0	True	82.0	28.0	1.074514737089049	2	False	1.2361419000003622	1.0
3t2	1	8	56.0	28.0	0.55	1.0	True	56.0	28.0	0.6931471805599453	2	False	1.1255934999999369	2.0
3t2	1	9	43.0	28.0	0.55	1.0	True	43.0	28.0	0.4289956055183586	2	False	1.3228188999996462	2.0
3t2	1	10	15.0	10.0	0.55	1.0	True	15.0	10.0	0.4054651081081644	1	True	1.5139821000002769	2.0
3t2	1	11	43.0	28.0	0.55	1.0	True	43.0	28.0	0.4289956055183586	2	False	1.2024227000001986	1.0
3t2	1	12	29.0	10.0	0.55	1.0	True	29.0	10.0	1.0647107369924282	1	True	1.3066341000003376	1.0
3t2	1	13	7.0	20.0	1.0	0.55	False	20.0	7.0	1.0498221244986776	2	True	1.0470610000002125	1.0
3t2	1	14	20.0	30.0	1.0	0.55	False	30.0	20.0	0.4054651081081644	1	False	2.3976975000000493	2.0
3t2	1	15	5.0	12.0	1.0	0.55	False	12.0	5.0	0.8754687373538999	2	True	1.0108960000002298	1.0
3t2	1	16	28.0	43.0	1.0	0.55	False	43.0	28.0	0.4289956055183586	1	False	1.1342069000002084	1.0
3t2	1	17	5.0	10.0	1.0	0.55	False	10.0	5.0	0.6931471805599453	1	False	1.949014199999965	2.0
3t2	1	18	28.0	107.0	1.0	0.55	False	107.0	28.0	1.3406243242867022	2	True	2.6590002999996614	2.0
3t2	1	19	5.0	11.0	1.0	0.55	False	11.0	5.0	0.7884573603642703	2	True	2.6370117000000732	2.0
3t2	1	20	10.0	15.0	1.0	0.55	False	15.0	10.0	0.4054651081081644	1	False	1.4117894999999976	2.0
3t2	1	21	28.0	49.0	1.0	0.55	False	49.0	28.0	0.5596157879354227	1	False	0.9704624000000877	1.0
3t2	1	22	28.0	63.0	1.0	0.55	False	63.0	28.0	0.8109302162163288	1	False	1.1160396999997602	1.0
3t2	1	23	14.0	47.0	1.0	0.55	False	47.0	14.0	1.2110902720948	2	True	2.738967100000025	2.0
3t2	1	24	28.0	49.0	1.0	0.55	False	49.0	28.0	0.5596157879354227	1	False	1.2391593000002104	2.0
3t2	2	25	10.0	7.0	0.55	1.0	True	10.0	7.0	0.3566749439387324	2	False	1.557124800000114	1.0
3t2	2	26	23.0	7.0	0.55	1.0	True	23.0	7.0	1.1895840668738364	1	True	1.8087507999998707	1.0
3t2	2	27	19.0	5.0	0.55	1.0	True	19.0	5.0	1.33500106673234	1	True	1.2251035000003867	1.0
3t2	2	28	7.0	5.0	0.55	1.0	True	7.0	5.0	0.3364722366212129	2	False	1.055460299999595	1.0
3t2	2	29	26.0	7.0	0.55	1.0	True	26.0	7.0	1.3121863889661687	1	True	1.1566377000003882	2.0
3t2	2	30	11.0	5.0	0.55	1.0	True	11.0	5.0	0.7884573603642703	1	True	1.3223906000002756	2.0
3t2	2	31	49.0	28.0	0.55	1.0	True	49.0	28.0	0.5596157879354227	2	False	1.661598899999703	1.0
3t2	2	32	53.0	14.0	0.55	1.0	True	53.0	14.0	1.3312345839368631	2	False	2.4674559999998564	2.0
3t2	2	33	53.0	14.0	0.55	1.0	True	53.0	14.0	1.3312345839368631	1	True	1.705913400000071	2.0
3t2	2	34	24.0	14.0	0.55	1.0	True	24.0	14.0	0.5389965007326869	2	False	1.2356927000001292	1.0
3t2	2	35	21.0	14.0	0.55	1.0	True	21.0	14.0	0.4054651081081644	2	False	1.3610677000001488	2.0
3t2	2	36	47.0	14.0	0.55	1.0	True	47.0	14.0	1.2110902720948	1	True	2.0697660000000724	2.0
3t2	2	37	10.0	17.0	1.0	0.55	False	17.0	10.0	0.5306282510621704	2	True	1.7977375000000393	2.0
3t2	2	38	5.0	8.0	1.0	0.55	False	8.0	5.0	0.47000362924573563	2	True	2.3304480000001035	2.0
3t2	2	39	10.0	20.0	1.0	0.55	False	20.0	10.0	0.6931471805599453	2	True	1.8620235000003333	2.0
3t2	2	40	10.0	33.0	1.0	0.55	False	33.0	10.0	1.1939224684724346	2	True	1.6756550999998296	2.0
3t2	2	41	14.0	31.0	1.0	0.55	False	31.0	14.0	0.7949298748698876	2	True	1.400550800000019	2.0
3t2	2	42	5.0	8.0	1.0	0.55	False	8.0	5.0	0.47000362924573563	2	True	1.4780617000001257	2.0
3t2	2	43	14.0	41.0	1.0	0.55	False	41.0	14.0	1.074514737089049	2	True	1.1027304999997796	1.0
3t2	2	44	20.0	76.0	1.0	0.55	False	76.0	20.0	1.33500106673234	1	False	2.0501720999995996	2.0
3t2	2	45	20.0	35.0	1.0	0.55	False	35.0	20.0	0.5596157879354227	1	False	1.1940139999996973	1.0
3t2	2	46	7.0	10.0	1.0	0.55	False	10.0	7.0	0.3566749439387324	1	False	1.2033317999998872	1.0
3t2	2	47	20.0	45.0	1.0	0.55	False	45.0	20.0	0.8109302162163288	2	True	2.3716451999998753	2.0
3t2	2	48	20.0	59.0	1.0	0.55	False	59.0	20.0	1.0818051703517284	2	True	1.7022748999998498	2.0
3t2	3	49	5.0	14.0	1.0	0.55	False	14.0	5.0	1.0296194171811581	2	True	1.144562599999972	2.0
3t2	3	50	20.0	51.0	1.0	0.55	False	51.0	20.0	0.9360933591703348	2	True	1.4771544000000105	2.0
3t2	3	51	28.0	63.0	1.0	0.55	False	63.0	28.0	0.8109302162163288	2	True	1.8994099999999818	2.0
3t2	3	52	28.0	43.0	1.0	0.55	False	43.0	28.0	0.4289956055183586	1	False	1.3591831999997481	1.0
3t2	3	53	20.0	67.0	1.0	0.55	False	67.0	20.0	1.208960345836975	1	False	2.0023708000003495	2.0
3t2	3	54	10.0	29.0	1.0	0.55	False	29.0	10.0	1.0647107369924282	2	True	1.812163099999907	2.0
3t2	3	55	5.0	7.0	1.0	0.55	False	7.0	5.0	0.3364722366212129	1	False	1.2442206000000624	1.0
3t2	3	56	10.0	29.0	1.0	0.55	False	29.0	10.0	1.0647107369924282	2	True	1.615818300000214	2.0
3t2	3	57	14.0	28.0	1.0	0.55	False	28.0	14.0	0.6931471805599453	2	True	2.2503302000000076	2.0
3t2	3	58	5.0	12.0	1.0	0.55	False	12.0	5.0	0.8754687373538999	1	False	1.1800835000003644	1.0
3t2	3	59	7.0	15.0	1.0	0.55	False	15.0	7.0	0.7621400520468967	2	True	1.5501679999997577	2.0
3t2	3	60	10.0	25.0	1.0	0.55	False	25.0	10.0	0.9162907318741551	2	True	1.0976329000000078	2.0
3t2	3	61	72.0	28.0	0.55	1.0	True	72.0	28.0	0.9444616088408515	2	False	1.9724593000000255	2.0
3t2	3	62	63.0	28.0	0.55	1.0	True	63.0	28.0	0.8109302162163288	2	False	1.7889494000000923	2.0
3t2	3	63	40.0	20.0	0.55	1.0	True	40.0	20.0	0.6931471805599453	2	False	2.3861665000003995	2.0
3t2	3	64	8.0	5.0	0.55	1.0	True	8.0	5.0	0.47000362924573563	1	True	1.7021115999996255	1.0
3t2	3	65	14.0	7.0	0.55	1.0	True	14.0	7.0	0.6931471805599453	1	True	0.9846858000001362	1.0
3t2	3	66	28.0	14.0	0.55	1.0	True	28.0	14.0	0.6931471805599453	2	False	2.342764200000147	2.0
3t2	3	67	41.0	14.0	0.55	1.0	True	41.0	14.0	1.074514737089049	1	True	1.3298383000001195	2.0
3t2	3	68	10.0	5.0	0.55	1.0	True	10.0	5.0	0.6931471805599453	1	True	2.26685069999985	2.0
3t2	3	69	38.0	10.0	0.55	1.0	True	38.0	10.0	1.33500106673234	1	True	2.0595234999996137	2.0
3t2	3	70	29.0	10.0	0.55	1.0	True	29.0	10.0	1.0647107369924282	1	True	1.2681595000003654	2.0
3t2	3	71	22.0	10.0	0.55	1.0	True	22.0	10.0	0.7884573603642703	1	True	2.7901170000000093	2.0
3t2	3	72	25.0	10.0	0.55	1.0	True	25.0	10.0	0.9162907318741551	1	True	1.0343996999999376	2.0
3t2	4	73	76.0	20.0	0.55	1.0	True	76.0	20.0	1.33500106673234	1	True	2.311062199999924	2.0
3t2	4	74	31.0	14.0	0.55	1.0	True	31.0	14.0	0.7949298748698876	2	False	1.2399199000001317	1.0
3t2	4	75	49.0	28.0	0.55	1.0	True	49.0	28.0	0.5596157879354227	2	False	1.0600294999999278	2.0
3t2	4	76	8.0	5.0	0.55	1.0	True	8.0	5.0	0.47000362924573563	2	False	2.346919600000092	2.0
3t2	4	77	35.0	20.0	0.55	1.0	True	35.0	20.0	0.5596157879354227	2	False	1.3614991999997983	1.0
3t2	4	78	67.0	20.0	0.55	1.0	True	67.0	20.0	1.208960345836975	2	False	1.1734500000002157	2.0
3t2	4	79	94.0	28.0	0.55	1.0	True	94.0	28.0	1.2110902720948	2	False	1.0327047000000675	1.0
3t2	4	80	12.0	7.0	0.55	1.0	True	12.0	7.0	0.5389965007326869	2	False	1.846633199999829	2.0
3t2	4	81	30.0	20.0	0.55	1.0	True	30.0	20.0	0.4054651081081644	2	False	2.0393073999998705	1.0
3t2	4	82	63.0	28.0	0.55	1.0	True	63.0	28.0	0.8109302162163288	2	False	0.8567849999999453	1.0
3t2	4	83	33.0	10.0	0.55	1.0	True	33.0	10.0	1.1939224684724346	1	True	1.2036099000002025	2.0
3t2	4	84	19.0	5.0	0.55	1.0	True	19.0	5.0	1.33500106673234	1	True	0.9511365999996997	2.0
3t2	4	85	14.0	53.0	1.0	0.55	False	53.0	14.0	1.3312345839368631	2	True	1.8494595999990793	2.0
