session	run	trial_nr	n1	n2	prob1	prob2	risky_first	n_risky	n_safe	log_risky_safe	choice	chose_risky	rt	certainty
3t2	1	1	20.0	63.0	1.0	0.55	False	63.0	20.0	1.1474024528375417	2	True	1.2810363329476644	2.0
3t2	1	2	7.0	22.0	1.0	0.55	False	22.0	7.0	1.1451323043030026	2	True	1.9427843537519038	1.0
3t2	1	3	20.0	53.0	1.0	0.55	False	53.0	20.0	0.9745596399981308	2	True	2.1272832964627924	2.0
3t2	1	4	14.0	23.0	1.0	0.55	False	23.0	14.0	0.49643688631389105	1	False	1.008775633265941	2.0
3t2	1	5	28.0	89.0	1.0	0.55	False	89.0	28.0	1.1564318595569358	2	True	1.8440920047746943	1.0
3t2	1	6	7.0	11.0	1.0	0.55	False	11.0	7.0	0.4519851237430572	1	False	1.1916316120482975	1.0
3t2	1	7	7.0	11.0	1.0	0.55	False	11.0	7.0	0.4519851237430572	1	False	1.057781884183484	1.0
3t2	1	8	7.0	15.0	1.0	0.55	False	15.0	7.0	0.7621400520468967	1	False	3.3290071429150743	2.0
3t2	1	9	5.0	15.0	1.0	0.55	False	15.0	5.0	1.0986122886681098	2	True	3.2966511199851993	
3t2	1	10	28.0	56.0	1.0	0.55	False	56.0	28.0	0.6931471805599453	2	True	0.9913527421254003	1.0
3t2	1	11	14.0	28.0	1.0	0.55	False	28.0	14.0	0.6931471805599453	2	True	1.8951212228330405	2.0
3t2	1	12	20.0	37.0	1.0	0.55	False	37.0	20.0	0.6151856390902335	2	True	1.843653238178831	2.0
3t2	1	13	20.0	10.0	0.55	1.0	True	20.0	10.0	0.6931471805599453	1	True	2.176373624220986	2.0
3t2	1	14	37.0	14.0	0.55	1.0	True	37.0	14.0	0.9718605830289658	1	True	1.742575999888686	2.0
3t2	1	15	74.0	28.0	0.55	1.0	True	74.0	28.0	0.9718605830289658	1	True	1.4253067674626436	1.0
3t2	1	16	56.0	28.0	0.55	1.0	True	56.0	28.0	0.6931471805599453	1	True	2.794847084115645	2.0
3t2	1	17	14.0	7.0	0.55	1.0	True	14.0	7.0	0.6931471805599453	1	True	1.8934511373427085	1.0
3t2	1	18	15.0	7.0	0.55	1.0	True	15.0	7.0	0.7621400520468967	2	False	1.5089921537324358	2.0
3t2	1	19	22.0	10.0	0.55	1.0	True	22.0	10.0	0.7884573603642703	2	False	2.4442894497424277	2.0
3t2	1	20	26.0	10.0	0.55	1.0	True	26.0	10.0	0.9555114450274363	2	False	2.4275292287561	1.0
3t2	1	21	31.0	10.0	0.55	1.0	True	31.0	10.0	1.1314021114911006	1	True	2.2936270658720446	2.0
3t2	1	22	33.0	20.0	0.55	1.0	True	33.0	20.0	0.5007752879124892	2	False	2.0767736069838634	1.0
3t2	1	23	63.0	20.0	0.55	1.0	True	63.0	20.0	1.1474024528375417	1	True	2.2436676427415136	2.0
3t2	1	24	17.0	7.0	0.55	1.0	True	17.0	7.0	0.8873031950009027	1	True	2.2768388192716884	1.0
3t2	2	25	12.0	5.0	0.55	1.0	True	12.0	5.0	0.8754687373538999	1	True	1.646473458688888	1.0
3t2	2	26	33.0	20.0	0.55	1.0	True	33.0	20.0	0.5007752879124892	2	False	1.626489086736001	1.0
3t2	2	27	18.0	10.0	0.55	1.0	True	18.0	10.0	0.5877866649021191	1	True	2.5941671164328	2.0
3t2	2	28	9.0	5.0	0.55	1.0	True	9.0	5.0	0.5877866649021191	2	False	3.0119042560659324	2.0
3t2	2	29	24.0	10.0	0.55	1.0	True	24.0	10.0	0.8754687373538999	2	False	2.410260930516415	2.0
3t2	2	30	28.0	14.0	0.55	1.0	True	28.0	14.0	0.6931471805599453	2	False	2.293537263368293	1.0
3t2	2	31	23.0	14.0	0.55	1.0	True	23.0	14.0	0.49643688631389105	2	False	1.342135485459039	1.0
3t2	2	32	44.0	14.0	0.55	1.0	True	44.0	14.0	1.1451323043030026	1	True	1.7590327607367584	1.0
3t2	2	33	53.0	20.0	0.55	1.0	True	53.0	20.0	0.9745596399981308	2	False	2.3107383604051677	2.0
3t2	2	34	13.0	5.0	0.55	1.0	True	13.0	5.0	0.9555114450274363	1	True	2.143411886415805	2.0
3t2	2	35	37.0	20.0	0.55	1.0	True	37.0	20.0	0.6151856390902335	2	False	2.07666723019247	1.0
3t2	2	36	11.0	5.0	0.55	1.0	True	11.0	5.0	0.7884573603642703	1	True	1.8594608896532634	1.0
3t2	2	37	20.0	53.0	1.0	0.55	False	53.0	20.0	0.9745596399981308	1	False	1.7260631878138781	2.0
3t2	2	38	28.0	81.0	1.0	0.55	False	81.0	28.0	1.0622446444972349	2	True	0.8912467570899025	1.0
