session	run	trial_nr	n1	n2	prob1	prob2	risky_first	n_risky	n_safe	log_risky_safe	choice	chose_risky	rt	certainty
3t2	1	1	32.0	20.0	0.55	1.0	True	32.0	20.0	0.47000362924573563	1	True	1.9944498999993812	3.0
3t2	1	2	14.0	10.0	0.55	1.0	True	14.0	10.0	0.3364722366212129	2	False	1.0431659000005453	1.0
3t2	1	3	29.0	20.0	0.55	1.0	True	29.0	20.0	0.371563556432483	2	False	1.0888848000004145	1.0
3t2	1	4	35.0	14.0	0.55	1.0	True	35.0	14.0	0.9162907318741551	1	True	1.4600977000000057	2.0
3t2	1	5	8.0	5.0	0.55	1.0	True	8.0	5.0	0.47000362924573563	2	False	2.3736195000001317	2.0
3t2	1	6	27.0	14.0	0.55	1.0	True	27.0	14.0	0.6567795363890705	1	True	1.8229048000002877	1.0
3t2	1	7	59.0	28.0	0.55	1.0	True	59.0	28.0	0.7453329337305156	1	True	0.9015043999998369	1.0
3t2	1	8	38.0	20.0	0.55	1.0	True	38.0	20.0	0.6418538861723947	1	True	1.5693130999997749	2.0
3t2	1	9	29.0	14.0	0.55	1.0	True	29.0	14.0	0.7282385003712155	1	True	2.453264800000426	2.0
3t2	1	10	65.0	28.0	0.55	1.0	True	65.0	28.0	0.8421827597204332	1	True	2.09033840000032	1.0
3t2	1	11	49.0	28.0	0.55	1.0	True	49.0	28.0	0.5596157879354227	2	False	2.1733258000004128	1.0
3t2	1	12	10.0	7.0	0.55	1.0	True	10.0	7.0	0.3566749439387324	2	False	1.736029100000394	1.0
3t2	1	13	28.0	54.0	1.0	0.55	False	54.0	28.0	0.6567795363890705	2	True	1.3240924000001542	1.0
3t2	1	14	14.0	35.0	1.0	0.55	False	35.0	14.0	0.9162907318741551	2	True	1.6889062000000195	1.0
3t2	1	15	5.0	11.0	1.0	0.55	False	11.0	5.0	0.7884573603642703	2	True	0.7218633999991653	1.0
3t2	1	16	28.0	54.0	1.0	0.55	False	54.0	28.0	0.6567795363890705	2	True	1.7409413999994285	2.0
3t2	1	17	7.0	12.0	1.0	0.55	False	12.0	7.0	0.5389965007326869	1	False	2.356510999999955	2.0
3t2	1	18	10.0	14.0	1.0	0.55	False	14.0	10.0	0.3364722366212129	1	False	1.6517610999999306	1.0
3t2	1	19	14.0	20.0	1.0	0.55	False	20.0	14.0	0.3566749439387324	1	False	1.6561465999993743	1.0
3t2	1	20	5.0	12.0	1.0	0.55	False	12.0	5.0	0.8754687373538999	2	True	1.1594126000000529	1.0
3t2	1	21	20.0	29.0	1.0	0.55	False	29.0	20.0	0.371563556432483	2	True	1.9900973999992857	2.0
3t2	1	22	14.0	24.0	1.0	0.55	False	24.0	14.0	0.5389965007326869	1	False	1.3354745000006005	2.0
3t2	1	23	20.0	42.0	1.0	0.55	False	42.0	20.0	0.7419373447293773	2	True	1.12211329999991	1.0
3t2	1	24	7.0	10.0	1.0	0.55	False	10.0	7.0	0.3566749439387324	1	False	3.090780700000437	1.0
3t2	2	25	10.0	17.0	1.0	0.55	False	17.0	10.0	0.5306282510621704	1	False	2.5108822000002	3.0
3t2	2	26	28.0	65.0	1.0	0.55	False	65.0	28.0	0.8421827597204332	1	False	2.3554323999996996	2.0
3t2	2	27	7.0	11.0	1.0	0.55	False	11.0	7.0	0.4519851237430572	1	False	1.1387288000005356	1.0
3t2	2	28	28.0	78.0	1.0	0.55	False	78.0	28.0	1.0245043165143877	2	True	1.2023329000003287	1.0
3t2	2	29	7.0	13.0	1.0	0.55	False	13.0	7.0	0.6190392084062235	2	True	2.4567726999994193	2.0
3t2	2	30	20.0	46.0	1.0	0.55	False	46.0	20.0	0.8329091229351039	2	True	0.9418331999995644	1.0
3t2	2	31	10.0	21.0	1.0	0.55	False	21.0	10.0	0.7419373447293773	2	True	1.0893805999994441	1.0
3t2	2	32	14.0	39.0	1.0	0.55	False	39.0	14.0	1.0245043165143877	2	True	1.7733111999996396	1.0
3t2	2	33	10.0	21.0	1.0	0.55	False	21.0	10.0	0.7419373447293773	1	False	1.3190901000006647	1.0
3t2	2	34	10.0	23.0	1.0	0.55	False	23.0	10.0	0.8329091229351039	2	True	1.3057571999997606	1.0
3t2	2	35	5.0	8.0	1.0	0.55	False	8.0	5.0	0.47000362924573563	1	False	1.3726792999995894	1.0
3t2	2	36	5.0	9.0	1.0	0.55	False	9.0	5.0	0.5877866649021191	2	True	2.590452899999974	2.0
3t2	2	37	49.0	28.0	0.55	1.0	True	49.0	28.0	0.5596157879354227	1	True	1.8062398000002133	3.0
3t2	2	38	23.0	10.0	0.55	1.0	True	23.0	10.0	0.8329091229351039	1	True	1.5061579000002894	1.0
3t2	2	39	22.0	14.0	0.55	1.0	True	22.0	14.0	0.4519851237430572	2	False	1.8397931999998036	2.0
3t2	2	40	16.0	7.0	0.55	1.0	True	16.0	7.0	0.8266785731844679	1	True	0.9850438000003123	1.0
3t2	2	41	25.0	10.0	0.55	1.0	True	25.0	10.0	0.9162907318741551	1	True	0.7856931999994572	1.0
3t2	2	42	17.0	10.0	0.55	1.0	True	17.0	10.0	0.5306282510621704		True		
3t2	2	43	28.0	10.0	0.55	1.0	True	28.0	10.0	1.0296194171811581	1	True	0.5510460000004969	1.0
3t2	2	44	11.0	7.0	0.55	1.0	True	11.0	7.0	0.4519851237430572	2	False	0.5555696999999782	1.0
3t2	2	45	10.0	5.0	0.55	1.0	True	10.0	5.0	0.6931471805599453	1	True	1.4425008999996862	2.0
3t2	2	46	8.0	5.0	0.55	1.0	True	8.0	5.0	0.47000362924573563	2	False	1.3937392000007094	1.0
3t2	2	47	46.0	20.0	0.55	1.0	True	46.0	20.0	0.8329091229351039	1	True	1.3935196999999562	1.0
3t2	2	48	39.0	14.0	0.55	1.0	True	39.0	14.0	1.0245043165143877	1	True	0.989045299999816	1.0
3t2	3	49	16.0	7.0	0.55	1.0	True	16.0	7.0	0.8266785731844679	1	True	0.8792381999992358	1.0
3t2	3	50	35.0	20.0	0.55	1.0	True	35.0	20.0	0.5596157879354227	1	True	1.8897778000000471	2.0
3t2	3	51	51.0	20.0	0.55	1.0	True	51.0	20.0	0.9360933591703348	1	True	0.7182817000002615	1.0
3t2	3	52	28.0	10.0	0.55	1.0	True	28.0	10.0	1.0296194171811581	1	True	1.1094121000005543	1.0
