session	run	trial_nr	n1	n2	prob1	prob2	risky_first	n_risky	n_safe	log_risky_safe	choice	chose_risky	rt	certainty
3t2	1	1	7.0	11.0	1.0	0.55	False	11.0	7.0	0.4519851237430572	2	True	1.3300423849482321	2.0
3t2	1	2	20.0	36.0	1.0	0.55	False	36.0	20.0	0.5877866649021191	2	True	1.3583238282362942	1.0
3t2	1	3	10.0	18.0	1.0	0.55	False	18.0	10.0	0.5877866649021191	2	True	0.6105831282896048	2.0
3t2	1	4	7.0	17.0	1.0	0.55	False	17.0	7.0	0.8873031950009027	2	True	1.0576923482585698	2.0
3t2	1	5	28.0	55.0	1.0	0.55	False	55.0	28.0	0.6751286750572669	2	True	0.9911665127267497	2.0
3t2	1	6	28.0	44.0	1.0	0.55	False	44.0	28.0	0.4519851237430572	1	False	1.0586822846585164	2.0
3t2	1	7	10.0	24.0	1.0	0.55	False	24.0	10.0	0.8754687373538999	2	True	0.6901285109217952	1.0
3t2	1	8	28.0	51.0	1.0	0.55	False	51.0	28.0	0.5996211225491218	2	True	1.0581085133024004	1.0
3t2	1	9	20.0	31.0	1.0	0.55	False	31.0	20.0	0.4382549309311553	2	True	1.8257962056959514	3.0
3t2	1	10	14.0	29.0	1.0	0.55	False	29.0	14.0	0.7282385003712155	2	True	1.174427396377041	2.0
3t2	1	11	10.0	19.0	1.0	0.55	False	19.0	10.0	0.6418538861723947	2	True	0.5737198253975464	2.0
3t2	1	12	20.0	31.0	1.0	0.55	False	31.0	20.0	0.4382549309311553	2	True	2.210053956807542	2.0
3t2	1	13	16.0	10.0	0.55	1.0	True	16.0	10.0	0.47000362924573563	1	True	1.3918201419662637	2.0
3t2	1	14	32.0	14.0	0.55	1.0	True	32.0	14.0	0.8266785731844679	2	False	0.8743377446026557	2.0
3t2	1	15	12.0	7.0	0.55	1.0	True	12.0	7.0	0.5389965007326869	2	False	0.7571199329795775	2.0
3t2	1	16	10.0	5.0	0.55	1.0	True	10.0	5.0	0.6931471805599453	1	True	1.1413195234443094	2.0
3t2	1	17	59.0	28.0	0.55	1.0	True	59.0	28.0	0.7453329337305156	2	False	0.55660974657917	1.0
